order_item_id,order_id,item_id,size_id,quantity,price_at_time
71,35,12,34,3,18.33
72,35,19,57,1,9.39
73,36,17,49,3,14.69
74,36,15,44,2,8.36
75,37,7,21,3,13.85
76,37,16,48,2,13.18
77,38,14,41,3,5.25
78,38,19,57,2,9.39
79,38,17,51,2,5.51
80,39,18,52,3,5.28
81,40,6,17,2,14.18
82,41,16,47,1,13.21
83,41,13,39,1,9.68
84,42,16,48,2,13.18
85,42,11,33,2,15.68
86,42,9,25,3,18.6
87,43,3,9,2,13.91
88,43,6,18,1,15.32
89,44,5,15,3,12.81
90,45,6,18,2,15.32
91,45,19,57,3,9.39
92,45,9,25,1,18.6
93,46,10,30,2,9.99
94,46,2,4,2,13.38
95,46,19,55,2,12.34
96,47,8,24,2,16.24
97,48,1,3,3,9.97
98,48,8,23,1,16.36
99,49,10,28,3,10.9
100,50,11,33,1,15.68
101,50,16,46,2,18.68
102,51,17,50,3,15.34
103,51,18,53,1,9.01
104,52,7,20,3,12.01
105,52,17,50,1,15.34
106,52,20,60,1,12.23
107,53,18,54,3,9.04
108,53,19,57,2,9.39
109,53,19,55,1,12.34
110,54,16,46,2,18.68
111,54,1,2,3,7.73
112,55,10,28,1,10.9
113,55,11,31,3,12.13
114,56,19,56,3,9.11
115,56,18,53,2,9.01
116,56,11,33,3,15.68
117,57,6,18,3,15.32
118,57,17,50,1,15.34
119,58,15,43,2,11.91
120,58,16,47,1,13.21
121,58,8,22,3,15.06
122,59,6,17,2,14.18
123,59,4,11,3,11.15
124,59,15,43,1,11.91
125,60,2,6,3,6.59
126,60,14,41,2,5.25
127,60,3,8,3,9.21
128,61,2,6,2,6.59
129,61,5,14,2,18.78
130,62,15,43,2,11.91
131,63,19,57,2,9.39
132,63,5,13,2,9.31
133,64,4,12,1,19.06
134,64,16,47,2,13.21
135,64,11,31,1,12.13
136,65,12,36,2,10.05
137,66,8,24,3,16.24
138,66,5,14,2,18.78
139,67,14,42,3,13.7
140,67,9,26,1,14.89
141,67,8,24,1,16.24
142,68,20,59,2,6.03
143,68,10,29,3,12.51
144,68,8,24,3,16.24
145,69,17,50,2,15.34
146,69,1,2,1,7.73
147,70,7,19,3,7.02
148,71,1,3,2,9.97
149,71,1,2,1,7.73
150,72,6,18,1,15.32
151,72,15,43,3,11.91
152,72,17,50,3,15.34
153,73,7,19,1,7.02
154,74,16,46,1,18.68
155,74,20,58,3,19.27
156,75,6,18,1,15.32
157,75,19,57,2,9.39
158,75,19,57,2,9.39
159,76,4,12,3,19.06
160,76,3,7,3,15.71
161,76,19,55,2,12.34
162,77,16,47,3,13.21
163,78,3,7,2,15.71
164,78,13,37,1,15.82
165,78,9,26,3,14.89
166,79,5,14,1,18.78
167,79,20,59,1,6.03
168,80,6,18,2,15.32
169,80,16,47,3,13.21
170,80,19,57,1,9.39
171,81,18,53,2,9.01
172,82,18,52,2,5.28
173,82,10,30,2,9.99
174,83,20,60,3,12.23
175,83,2,4,1,13.38
176,83,16,47,3,13.21
177,84,20,59,2,6.03
178,84,15,44,1,8.36
179,85,16,47,2,13.21
180,85,5,15,1,12.81
181,86,11,31,2,12.13
182,86,17,50,3,15.34
183,87,20,60,3,12.23
184,87,14,40,3,6.75
185,88,1,1,3,11.51
186,89,20,58,3,19.27
187,90,6,16,1,18.54
188,90,15,45,3,19.74
189,90,8,23,1,16.36
190,91,11,33,2,15.68
191,91,19,57,2,9.39
192,92,5,15,1,12.81
193,92,9,27,3,10.83
194,92,17,51,1,5.51
195,93,4,11,1,11.15
196,93,10,29,2,12.51
197,94,4,10,2,6.89
198,94,3,9,1,13.91
199,94,18,54,2,9.04
200,95,16,48,3,13.18
201,95,13,38,3,19.05
202,95,19,55,1,12.34
203,96,6,17,3,14.18
204,96,14,40,2,6.75
205,97,9,26,1,14.89
206,97,5,15,3,12.81
207,97,8,23,2,16.36
208,98,4,11,1,11.15
209,98,18,52,1,5.28
210,98,1,2,2,7.73
211,99,19,57,2,9.39
212,99,5,13,1,9.31
213,100,6,17,1,14.18
214,100,7,20,2,12.01
215,101,13,37,1,15.82
216,102,6,18,3,15.32
217,103,2,4,3,13.38
218,103,1,2,3,7.73
219,103,5,14,3,18.78
220,104,4,10,3,6.89
221,105,15,44,3,8.36
222,105,15,43,2,11.91
223,105,5,15,3,12.81
224,106,7,19,3,7.02
225,107,8,23,3,16.36
226,107,15,43,1,11.91
227,108,16,46,2,18.68
228,109,1,1,2,11.51
229,110,9,25,3,18.6
230,111,18,52,3,5.28
231,112,2,6,2,6.59
232,112,15,43,2,11.91
233,112,14,41,2,5.25
234,113,6,16,2,18.54
235,114,19,55,3,12.34
236,114,10,30,2,9.99
237,114,11,31,1,12.13
238,115,15,43,3,11.91
239,115,4,11,2,11.15
240,116,16,48,2,13.18
241,116,6,18,2,15.32
242,117,18,54,2,9.04
243,117,2,5,1,14.74
244,118,19,55,3,12.34
245,118,15,43,1,11.91
246,118,11,31,2,12.13
247,119,7,19,2,7.02
248,119,4,11,3,11.15
249,119,2,4,1,13.38
250,120,10,30,3,9.99
251,120,17,51,2,5.51
252,120,6,18,2,15.32
253,121,20,60,1,12.23
254,121,17,50,2,15.34
255,122,1,3,2,9.97
256,122,12,35,2,13.89
257,123,17,51,3,5.51
258,123,11,32,3,11.34
259,123,18,54,2,9.04
260,124,16,48,1,13.18
261,124,2,6,2,6.59
262,125,2,5,3,14.74
263,126,2,5,1,14.74
264,127,19,56,3,9.11
265,127,12,34,1,18.33
266,128,19,56,2,9.11
267,128,13,38,2,19.05
268,129,7,21,1,13.85
269,129,15,45,1,19.74
270,129,15,43,3,11.91
271,130,20,59,2,6.03
272,130,1,2,3,7.73
273,130,10,28,1,10.9
274,131,7,19,3,7.02
275,131,7,20,1,12.01
276,132,5,13,2,9.31
277,133,8,22,2,15.06
278,133,20,58,3,19.27
279,134,4,11,3,11.15
280,134,1,2,2,7.73
281,135,19,55,3,12.34
282,136,10,28,1,10.9
283,137,12,35,3,13.89
284,137,3,9,2,13.91
285,138,19,56,1,9.11
286,138,10,30,1,9.99
287,139,2,4,3,13.38
288,139,18,53,2,9.01
289,139,15,44,1,8.36
290,140,8,22,2,15.06
291,140,12,36,2,10.05
292,140,7,19,3,7.02
293,141,15,43,1,11.91
294,141,18,52,3,5.28
295,142,3,8,2,9.21
296,143,12,36,2,10.05
297,143,6,16,3,18.54
298,143,1,1,3,11.51
299,144,17,49,1,14.69
300,144,3,7,1,15.71
301,145,12,36,1,10.05
302,145,14,40,2,6.75
303,146,10,29,1,12.51
304,146,12,35,3,13.89
305,146,7,20,2,12.01
306,147,15,45,3,19.74
307,147,10,30,1,9.99
308,147,2,5,2,14.74
309,148,6,17,1,14.18
310,148,6,17,3,14.18
311,149,19,55,1,12.34
312,149,9,27,2,10.83
313,149,14,41,3,5.25
314,150,19,55,1,12.34
315,150,13,39,2,9.68
316,150,5,14,1,18.78
317,151,15,45,1,19.74
318,152,11,32,3,11.34
319,153,13,38,1,19.05
320,153,9,25,2,18.6
321,154,9,27,3,10.83
322,154,9,26,1,14.89
323,155,8,24,3,16.24
324,156,7,21,2,13.85
325,156,16,46,1,18.68
326,156,20,58,1,19.27
327,157,15,45,1,19.74
328,157,15,44,2,8.36
329,157,5,15,3,12.81
330,158,5,15,1,12.81
331,158,1,2,1,7.73
332,159,5,14,2,18.78
333,159,2,5,1,14.74
334,160,18,52,1,5.28
335,161,5,13,3,9.31
336,162,2,6,1,6.59
337,162,17,49,3,14.69
338,162,4,10,3,6.89
339,163,8,23,1,16.36
340,163,10,28,1,10.9
341,164,19,55,2,12.34
342,164,20,59,1,6.03
343,164,6,18,3,15.32
344,165,6,17,2,14.18
345,165,13,38,1,19.05
346,165,4,11,1,11.15
347,166,6,18,2,15.32
348,166,8,23,1,16.36
349,166,19,57,1,9.39
350,167,15,44,3,8.36
351,168,19,55,2,12.34
352,168,5,14,1,18.78
353,168,8,22,3,15.06
354,169,3,9,2,13.91
355,169,14,40,2,6.75
356,170,14,41,3,5.25
357,170,8,23,2,16.36
358,171,7,19,1,7.02
359,171,13,37,1,15.82
360,172,2,5,3,14.74
361,172,13,38,2,19.05
362,173,11,31,2,12.13
363,174,9,27,1,10.83
364,174,14,40,3,6.75
365,175,11,33,2,15.68
366,176,10,30,3,9.99
367,176,11,31,1,12.13
368,176,11,32,2,11.34
369,177,11,32,2,11.34
370,177,18,53,2,9.01
371,178,19,56,2,9.11
372,178,14,41,2,5.25
373,178,6,17,2,14.18
374,179,2,5,1,14.74
375,180,2,5,2,14.74
376,181,6,16,2,18.54
377,182,13,39,1,9.68
378,182,11,32,3,11.34
379,183,15,44,2,8.36
380,183,1,3,1,9.97
381,184,17,49,3,14.69
382,184,16,46,3,18.68
383,184,7,19,1,7.02
384,185,14,41,2,5.25
385,186,18,52,3,5.28
386,187,20,58,2,19.27
387,187,18,52,3,5.28
388,188,6,17,3,14.18
389,188,2,6,3,6.59
390,188,19,57,3,9.39
391,189,7,19,2,7.02
392,189,18,52,3,5.28
393,189,4,10,3,6.89
394,190,9,27,3,10.83
395,190,13,37,3,15.82
396,191,1,1,1,11.51
397,191,20,59,2,6.03
398,191,13,39,1,9.68
399,192,8,24,1,16.24
400,193,4,10,2,6.89
401,193,9,26,3,14.89
402,194,16,48,1,13.18
403,194,12,34,2,18.33
404,195,9,27,1,10.83
405,196,9,27,3,10.83
406,196,1,3,3,9.97
407,196,8,23,3,16.36
408,197,6,17,2,14.18
409,197,15,44,1,8.36
410,198,3,8,1,9.21
411,198,8,23,1,16.36
412,199,7,19,2,7.02
413,199,13,38,3,19.05
414,200,8,24,3,16.24
415,201,12,36,3,10.05
416,201,16,46,1,18.68
417,202,8,23,3,16.36
418,203,3,7,3,15.71
419,204,15,44,3,8.36
420,204,16,47,2,13.21
421,204,11,31,2,12.13
422,205,10,29,3,12.51
423,205,5,15,2,12.81
424,206,11,33,2,15.68
425,207,17,49,1,14.69
426,207,5,15,2,12.81
427,208,17,51,2,5.51
428,208,13,39,1,9.68
429,209,13,38,2,19.05
430,209,1,2,1,7.73
431,209,6,16,3,18.54
432,210,18,52,1,5.28
433,210,8,24,3,16.24
434,211,13,38,2,19.05
435,211,9,27,3,10.83
436,212,11,33,1,15.68
437,212,2,6,1,6.59
438,213,5,14,2,18.78
439,213,8,22,2,15.06
440,213,8,22,1,15.06
441,214,6,16,2,18.54
442,214,7,19,3,7.02
443,214,1,1,3,11.51
444,215,10,30,1,9.99
445,215,2,4,3,13.38
446,215,6,16,3,18.54
447,216,5,13,1,9.31
448,217,19,57,3,9.39
449,218,8,23,3,16.36
450,218,19,57,1,9.39
451,218,19,55,2,12.34
452,219,5,15,3,12.81
453,219,2,5,1,14.74
454,220,9,25,1,18.6
455,220,20,58,2,19.27
456,221,3,7,3,15.71
457,221,20,59,3,6.03
458,221,15,45,3,19.74
459,222,5,14,1,18.78
460,223,3,9,2,13.91
461,223,12,35,3,13.89
462,224,2,6,1,6.59
463,224,6,17,3,14.18
464,224,3,8,3,9.21
465,225,6,17,3,14.18
466,226,18,53,3,9.01
467,227,4,10,2,6.89
468,227,20,60,1,12.23
469,227,5,14,2,18.78
470,228,5,15,1,12.81
471,229,10,30,3,9.99
472,230,15,44,2,8.36
473,230,5,14,2,18.78
474,231,12,36,2,10.05
475,231,11,32,3,11.34
476,231,19,55,2,12.34
477,232,14,41,3,5.25
478,232,1,1,1,11.51
479,233,12,36,3,10.05
480,233,3,9,1,13.91
481,233,6,16,1,18.54
482,234,12,35,2,13.89
483,235,3,8,3,9.21
484,236,11,31,2,12.13
485,236,2,6,2,6.59
486,236,20,59,3,6.03
487,237,2,6,2,6.59
488,238,17,51,2,5.51
489,238,12,35,3,13.89
490,238,6,16,2,18.54
491,239,15,45,1,19.74
492,239,10,28,3,10.9
493,240,1,1,3,11.51
494,241,20,60,1,12.23
495,242,6,16,1,18.54
496,243,13,37,3,15.82
497,243,18,52,2,5.28
498,244,1,1,2,11.51
499,245,10,28,1,10.9
500,245,2,6,2,6.59
501,245,13,37,1,15.82
502,246,19,56,3,9.11
503,247,6,16,2,18.54
504,247,16,46,1,18.68
505,247,16,47,3,13.21
506,248,17,49,2,14.69
507,249,5,15,1,12.81
508,249,7,20,2,12.01
509,250,18,53,3,9.01
510,250,10,28,3,10.9
511,251,8,24,2,16.24
512,251,2,6,3,6.59
513,251,17,51,1,5.51
514,252,9,25,1,18.6
515,252,12,35,2,13.89
516,253,18,53,2,9.01
517,253,12,35,2,13.89
518,253,11,33,1,15.68
519,254,13,39,3,9.68
520,254,14,41,2,5.25
521,255,2,4,3,13.38
522,256,12,34,1,18.33
523,257,18,53,2,9.01
524,257,10,28,2,10.9
525,258,16,46,2,18.68
526,258,14,42,3,13.7
527,259,1,2,1,7.73
528,259,9,27,2,10.83
529,259,20,58,2,19.27
530,260,6,16,1,18.54
531,260,9,27,3,10.83
532,261,6,16,1,18.54
533,261,1,1,2,11.51
534,262,14,41,2,5.25
535,262,2,4,3,13.38
536,262,20,58,1,19.27
537,263,18,52,1,5.28
538,263,12,36,2,10.05
539,264,13,37,2,15.82
540,265,11,33,3,15.68
541,265,16,47,3,13.21
542,266,14,40,2,6.75
543,267,7,20,1,12.01
544,267,16,47,3,13.21
545,268,12,34,3,18.33
546,268,17,51,1,5.51
547,269,17,49,2,14.69
548,270,8,23,3,16.36
549,270,13,37,1,15.82
550,271,8,22,2,15.06
551,271,10,28,3,10.9
552,272,8,23,2,16.36
553,272,12,34,2,18.33
554,272,18,53,2,9.01
555,273,7,19,2,7.02
556,273,9,25,3,18.6
557,274,5,15,2,12.81
558,274,5,13,3,9.31
559,274,16,46,3,18.68
560,275,10,30,1,9.99
561,275,9,26,2,14.89
562,275,1,2,1,7.73
563,276,17,51,3,5.51
564,277,16,46,1,18.68
565,278,9,26,2,14.89
566,279,5,13,1,9.31
567,279,8,22,2,15.06
568,280,3,9,3,13.91
569,280,14,41,2,5.25
570,281,6,17,3,14.18
571,282,4,12,3,19.06
572,283,13,39,1,9.68
573,284,9,25,2,18.6
574,284,18,52,3,5.28
575,284,5,14,1,18.78
576,285,7,19,1,7.02
577,286,15,45,2,19.74
578,286,10,28,3,10.9
579,287,11,31,1,12.13
580,288,5,14,1,18.78
581,289,19,57,2,9.39
582,290,15,45,3,19.74
583,290,15,43,3,11.91
584,291,2,4,2,13.38
585,291,12,35,3,13.89
586,292,4,12,3,19.06
587,292,7,20,2,12.01
588,293,19,57,3,9.39
589,293,2,5,1,14.74
590,294,12,36,3,10.05
591,295,18,54,1,9.04
592,296,8,23,2,16.36
593,296,16,48,1,13.18
594,296,5,15,1,12.81
595,297,5,15,2,12.81
596,297,10,28,2,10.9
597,298,4,10,3,6.89
598,298,6,16,1,18.54
599,299,15,44,1,8.36
600,300,17,49,1,14.69
601,301,4,12,2,19.06
602,301,17,51,3,5.51
603,301,13,39,3,9.68
604,302,6,16,3,18.54
605,303,15,43,1,11.91
606,303,12,35,3,13.89
607,303,13,37,1,15.82
608,304,9,27,2,10.83
609,305,20,58,2,19.27
610,305,6,18,1,15.32
611,306,9,25,3,18.6
612,306,18,53,1,9.01
613,307,2,6,3,6.59
614,308,7,21,3,13.85
615,309,11,32,3,11.34
616,309,1,2,3,7.73
617,310,7,19,1,7.02
618,310,20,59,3,6.03
619,311,6,18,3,15.32
620,311,13,37,2,15.82
621,311,16,47,1,13.21
622,312,20,59,2,6.03
623,312,20,60,2,12.23
624,312,14,42,1,13.7
625,313,2,6,1,6.59
626,313,12,35,1,13.89
627,313,13,38,1,19.05
628,314,18,52,2,5.28
629,315,8,22,3,15.06
630,315,9,25,3,18.6
631,315,7,19,1,7.02
632,316,4,11,1,11.15
633,316,10,30,3,9.99
634,317,5,14,1,18.78
635,318,6,18,1,15.32
636,319,11,32,3,11.34
637,319,15,43,3,11.91
638,319,2,5,3,14.74
639,320,16,47,2,13.21
640,320,11,32,1,11.34
641,321,13,39,3,9.68
642,322,13,37,2,15.82
643,322,15,43,2,11.91
644,322,7,19,1,7.02
645,323,16,47,2,13.21
646,323,11,32,3,11.34
647,324,5,13,1,9.31
648,325,15,45,3,19.74
649,325,2,6,3,6.59
650,325,16,47,3,13.21
651,326,14,40,1,6.75
652,327,4,11,3,11.15
653,327,4,12,1,19.06
654,327,17,49,1,14.69
655,328,15,44,2,8.36
656,328,13,38,1,19.05
657,329,16,46,3,18.68
658,330,10,30,1,9.99
659,330,16,48,3,13.18
660,330,20,60,1,12.23
661,331,16,46,1,18.68
662,331,7,21,1,13.85
663,331,18,53,2,9.01
664,332,9,26,1,14.89
665,332,2,4,2,13.38
666,333,18,54,2,9.04
667,334,2,4,3,13.38
668,334,20,60,2,12.23
669,335,3,8,1,9.21
670,335,13,38,1,19.05
671,335,18,53,1,9.01
672,336,7,19,2,7.02
673,337,7,21,2,13.85
674,337,9,26,2,14.89
675,337,11,33,1,15.68
676,338,13,37,2,15.82
677,338,1,2,3,7.73
678,338,15,45,2,19.74
679,339,12,36,1,10.05
680,339,11,31,2,12.13
681,339,6,16,2,18.54
682,340,11,32,3,11.34
683,341,15,44,3,8.36
684,341,14,42,2,13.7
685,342,6,18,3,15.32
686,342,5,14,1,18.78
687,343,17,50,2,15.34
688,343,2,6,2,6.59
689,343,8,23,2,16.36
690,344,11,33,2,15.68
691,344,7,20,2,12.01
692,344,17,50,2,15.34
693,345,7,20,1,12.01
694,346,8,23,3,16.36
695,346,6,16,3,18.54
696,347,20,59,2,6.03
697,347,17,49,2,14.69
698,347,5,15,2,12.81
699,348,15,45,3,19.74
700,348,3,7,1,15.71
701,348,6,16,2,18.54
702,349,5,15,2,12.81
703,350,10,28,2,10.9
704,350,15,45,1,19.74
705,350,5,14,1,18.78
706,351,15,44,1,8.36
707,351,19,57,3,9.39
708,352,19,57,1,9.39
709,352,3,9,2,13.91
710,352,10,29,1,12.51
711,353,9,25,1,18.6
712,353,17,51,1,5.51
713,353,12,36,3,10.05
714,354,12,36,2,10.05
715,354,18,54,2,9.04
716,355,2,4,2,13.38
717,355,15,43,2,11.91
718,355,2,4,3,13.38
719,356,5,13,1,9.31
720,356,15,43,2,11.91
721,356,10,30,3,9.99
722,357,10,28,1,10.9
723,358,6,16,3,18.54
724,358,1,2,1,7.73
725,358,5,15,1,12.81
726,359,10,30,3,9.99
727,359,3,8,2,9.21
728,359,4,12,3,19.06
729,360,2,6,3,6.59
730,361,9,26,3,14.89
731,361,3,9,1,13.91
732,362,16,46,2,18.68
733,362,16,46,3,18.68
734,362,9,25,2,18.6
735,363,4,10,2,6.89
736,363,18,52,2,5.28
737,363,1,1,2,11.51
738,364,14,40,3,6.75
739,364,13,38,2,19.05
740,365,14,41,2,5.25
741,365,15,43,3,11.91
742,366,5,13,1,9.31
743,367,4,12,3,19.06
744,367,6,17,1,14.18
745,368,19,57,1,9.39
746,369,6,16,3,18.54
747,369,8,22,3,15.06
748,369,7,19,2,7.02
749,370,9,26,1,14.89
750,370,11,31,1,12.13
751,371,20,60,3,12.23
752,371,1,3,1,9.97
753,372,14,40,2,6.75
754,372,17,51,3,5.51
755,373,9,27,1,10.83
756,373,14,41,1,5.25
757,374,1,2,3,7.73
758,374,5,13,3,9.31
759,375,11,33,3,15.68
760,375,9,26,1,14.89
761,376,9,25,2,18.6
762,376,10,29,1,12.51
763,376,16,46,3,18.68
764,377,16,46,2,18.68
765,377,1,1,2,11.51
766,377,10,30,3,9.99
767,378,7,20,2,12.01
768,378,11,32,2,11.34
769,379,13,38,1,19.05
770,379,13,39,3,9.68
771,379,5,14,2,18.78
772,380,2,4,3,13.38
773,380,13,39,2,9.68
774,381,17,49,3,14.69
775,382,7,21,1,13.85
776,382,12,36,1,10.05
777,383,7,21,3,13.85
778,384,2,5,3,14.74
779,385,18,54,3,9.04
780,385,15,43,1,11.91
781,385,1,1,2,11.51
782,386,5,15,2,12.81
783,386,8,22,1,15.06
784,387,4,11,3,11.15
785,387,2,5,1,14.74
786,388,19,56,1,9.11
787,388,2,5,1,14.74
788,388,2,4,3,13.38
789,389,18,52,3,5.28
790,389,11,31,1,12.13
791,390,19,57,3,9.39
792,390,11,32,3,11.34
793,390,17,50,3,15.34
794,391,13,39,2,9.68
795,392,16,46,1,18.68
796,392,16,47,3,13.21
797,393,12,35,3,13.89
798,393,8,23,3,16.36
799,393,13,38,3,19.05
800,394,4,10,1,6.89
801,395,2,5,2,14.74
802,396,1,2,2,7.73
803,396,2,4,3,13.38
804,397,1,1,3,11.51
805,397,10,28,2,10.9
806,398,11,33,3,15.68
807,398,1,2,2,7.73
808,398,7,19,2,7.02
809,399,4,12,2,19.06
810,399,17,49,1,14.69
811,399,11,32,3,11.34
812,400,11,33,1,15.68
813,400,20,59,2,6.03
814,401,20,58,3,19.27
815,401,8,22,1,15.06
816,402,2,6,3,6.59
817,403,1,1,2,11.51
818,404,3,8,2,9.21
819,405,19,55,1,12.34
820,405,4,11,3,11.15
821,405,9,27,2,10.83
822,406,2,5,3,14.74
823,406,19,56,2,9.11
824,407,17,51,2,5.51
825,408,11,33,2,15.68
826,409,13,38,1,19.05
827,409,4,12,2,19.06
828,410,1,2,3,7.73
829,410,10,28,2,10.9
830,411,10,28,1,10.9
831,411,3,8,2,9.21
832,411,18,53,3,9.01
833,412,7,20,2,12.01
834,412,3,7,2,15.71
835,413,17,49,2,14.69
836,413,5,13,1,9.31
837,414,17,51,3,5.51
838,414,20,59,3,6.03
839,415,3,7,1,15.71
840,415,9,25,2,18.6
841,416,13,39,1,9.68
842,416,14,42,3,13.7
843,416,19,55,3,12.34
844,417,7,20,3,12.01
845,418,20,58,3,19.27
846,419,18,52,1,5.28
847,419,4,11,2,11.15
848,420,13,37,1,15.82
849,420,19,56,3,9.11
850,420,15,43,1,11.91
851,421,9,25,1,18.6
852,421,1,3,1,9.97
853,422,12,34,3,18.33
854,423,10,29,3,12.51
855,423,12,36,3,10.05
856,423,8,22,2,15.06
857,424,1,2,1,7.73
858,425,6,17,1,14.18
859,425,10,29,2,12.51
860,426,3,7,3,15.71
861,426,20,60,3,12.23
862,426,12,35,3,13.89
863,427,19,55,1,12.34
864,427,11,31,2,12.13
865,428,14,42,2,13.7
866,428,5,13,3,9.31
867,428,8,24,2,16.24
868,429,19,57,3,9.39
869,429,19,56,2,9.11
870,430,9,25,1,18.6
871,430,19,56,3,9.11
872,431,14,42,2,13.7
873,432,13,38,3,19.05
874,433,17,50,2,15.34
875,433,18,52,3,5.28
876,433,6,17,2,14.18
877,434,9,25,1,18.6
878,434,12,35,1,13.89
879,434,6,18,3,15.32
880,435,13,37,2,15.82
881,435,9,27,1,10.83
882,435,11,33,3,15.68
883,436,9,25,1,18.6
884,436,18,52,1,5.28
885,437,11,31,2,12.13
886,438,13,39,2,9.68
887,439,9,25,2,18.6
888,440,20,60,2,12.23
889,441,10,28,3,10.9
890,441,16,48,2,13.18
891,442,14,40,1,6.75
892,442,5,14,3,18.78
893,442,7,21,2,13.85
894,443,12,36,3,10.05
895,443,6,18,2,15.32
896,444,18,52,2,5.28
897,444,3,7,3,15.71
898,444,12,34,3,18.33
899,445,11,31,1,12.13
900,446,15,43,3,11.91
901,447,1,3,1,9.97
902,447,10,30,3,9.99
903,448,16,47,3,13.21
904,448,9,26,3,14.89
905,449,18,52,2,5.28
906,449,5,13,1,9.31
907,449,9,26,2,14.89
908,450,16,46,2,18.68
909,450,9,26,2,14.89
910,450,19,57,2,9.39
911,451,19,55,1,12.34
912,451,3,7,1,15.71
913,451,9,25,2,18.6
914,452,6,16,1,18.54
915,452,11,33,1,15.68
916,452,4,10,3,6.89
917,453,20,60,1,12.23
918,453,8,22,2,15.06
919,454,2,5,3,14.74
920,455,15,45,1,19.74
921,456,20,60,1,12.23
922,456,19,57,2,9.39
923,456,2,5,1,14.74
924,457,14,40,1,6.75
925,458,2,4,3,13.38
926,459,15,43,1,11.91
927,460,10,29,2,12.51
928,461,15,43,2,11.91
929,462,4,11,3,11.15
930,462,20,59,3,6.03
931,462,10,29,1,12.51
932,463,18,54,1,9.04
933,463,15,45,3,19.74
934,463,6,16,2,18.54
935,464,10,28,2,10.9
936,465,15,43,2,11.91
937,465,17,49,3,14.69
938,465,14,41,3,5.25
939,466,17,51,3,5.51
940,466,15,44,1,8.36
941,467,6,16,2,18.54
942,468,11,32,1,11.34
943,468,13,39,1,9.68
944,468,16,48,1,13.18
945,469,10,30,3,9.99
946,470,8,22,2,15.06
947,470,12,35,2,13.89
948,470,13,39,2,9.68
949,471,12,36,2,10.05
950,471,2,4,3,13.38
951,472,13,39,1,9.68
952,473,1,2,2,7.73
953,473,6,16,3,18.54
954,473,18,52,3,5.28
955,474,19,56,2,9.11
956,474,11,31,3,12.13
957,475,10,28,1,10.9
958,475,15,44,2,8.36
959,475,10,30,2,9.99
960,476,4,11,3,11.15
961,476,19,56,3,9.11
962,477,18,54,2,9.04
963,477,4,11,1,11.15
964,478,4,12,2,19.06
965,478,13,38,1,19.05
966,479,6,16,1,18.54
967,479,3,9,2,13.91
968,479,7,19,1,7.02
969,480,4,10,2,6.89
970,480,17,51,3,5.51
971,481,9,26,2,14.89
972,481,17,49,3,14.69
973,481,7,21,3,13.85
974,482,12,35,1,13.89
975,482,9,27,1,10.83
976,482,18,54,2,9.04
977,483,1,3,1,9.97
978,483,6,18,3,15.32
979,483,8,22,1,15.06
980,484,20,58,2,19.27
981,485,15,43,2,11.91
982,485,12,35,3,13.89
983,485,6,18,1,15.32
984,486,17,50,3,15.34
985,486,5,15,2,12.81
986,487,18,52,2,5.28
987,488,14,42,1,13.7
988,488,3,9,2,13.91
989,488,10,30,2,9.99
990,489,16,48,2,13.18
991,489,10,28,3,10.9
992,489,13,37,2,15.82
993,490,7,20,3,12.01
994,490,16,46,3,18.68
995,490,1,2,3,7.73
996,491,12,35,2,13.89
