booking_id,user_id,show_id,booking_datetime,total_cost
81,28,10,2025-02-16 21:57:09,145.69
82,28,9,2025-03-04 12:52:35,779.33
83,29,9,2025-02-12 09:07:34,172.19
84,29,6,2025-03-02 03:34:05,356.98
85,30,13,2025-03-02 08:38:35,326.3
86,30,4,2025-02-11 22:50:29,883.98
87,30,15,2025-02-12 19:32:48,170.71
88,31,1,2025-03-05 14:21:53,989.99
89,31,9,2025-02-27 15:34:17,502.01
90,31,6,2025-02-15 20:28:32,217.71
91,31,1,2025-03-02 03:57:45,805.01
92,31,13,2025-03-04 08:37:28,498.55
93,32,9,2025-02-18 03:34:02,145.2
94,32,15,2025-02-21 16:27:52,965.61
95,32,12,2025-02-20 03:48:39,189.24
96,32,6,2025-03-11 21:27:34,714.47
97,32,13,2025-02-12 01:11:46,166.85
98,33,8,2025-03-01 22:28:49,686.98
99,33,8,2025-03-10 06:33:38,694.66
100,33,14,2025-02-21 13:17:42,666.69
101,34,3,2025-02-16 03:00:12,851.26
102,34,4,2025-02-28 00:01:29,448.95
103,34,4,2025-03-04 17:44:40,551.84
104,34,1,2025-02-11 15:08:58,888.85
105,35,6,2025-03-07 23:03:22,103.49
106,35,2,2025-03-04 01:37:39,415.03
107,35,13,2025-02-10 15:58:38,973.26
108,36,10,2025-02-15 05:23:17,675.65
109,36,2,2025-02-23 00:31:22,367.04
110,36,15,2025-02-14 09:25:26,460.17
111,36,7,2025-03-03 13:20:58,694.79
112,37,14,2025-03-02 07:59:10,506.2
113,37,14,2025-02-18 06:57:04,793.34
114,38,16,2025-03-11 00:39:29,681.4
115,38,5,2025-03-09 14:30:04,600.73
116,38,8,2025-03-09 05:13:52,940.02
117,38,12,2025-02-26 03:11:29,476.21
118,39,10,2025-03-11 03:38:57,576.78
119,40,12,2025-03-01 11:04:31,610.52
120,41,7,2025-02-18 03:27:46,317.11
121,41,14,2025-03-04 03:19:34,519.33
122,41,6,2025-02-15 00:35:00,665.55
123,41,6,2025-02-25 19:54:32,510.81
124,42,13,2025-02-22 04:29:38,815.11
125,42,7,2025-02-12 01:58:49,394.87
126,42,16,2025-02-20 16:10:05,825.58
127,42,4,2025-02-16 09:59:55,842.17
128,42,9,2025-02-21 18:42:41,654.03
129,43,12,2025-03-07 03:40:40,650.89
130,43,2,2025-03-09 14:21:51,454.1
131,44,11,2025-03-12 04:44:49,270.19
132,44,7,2025-02-23 21:47:37,791.39
133,44,4,2025-03-09 19:37:47,754.62
134,45,2,2025-03-10 06:21:20,960.87
135,45,2,2025-03-03 09:09:15,308.82
136,46,16,2025-02-28 22:45:55,939.64
137,47,16,2025-02-18 00:51:29,730.07
138,48,10,2025-03-07 18:51:49,910.0
139,48,1,2025-02-23 21:18:17,451.0
140,48,11,2025-03-08 03:10:08,400.41
141,49,8,2025-02-15 19:05:54,541.9
142,49,11,2025-02-10 15:36:36,190.39
143,49,14,2025-03-05 04:46:03,312.58
144,49,9,2025-02-12 13:53:38,811.56
145,50,14,2025-03-11 21:25:45,935.34
146,50,5,2025-02-11 01:15:20,372.14
147,50,12,2025-02-18 19:15:34,170.64
148,51,15,2025-03-10 14:02:27,479.12
149,51,4,2025-02-16 14:17:16,872.09
150,51,2,2025-02-18 16:13:00,910.86
151,51,4,2025-02-21 18:05:03,300.84
152,52,11,2025-02-15 05:34:20,251.65
153,52,2,2025-02-12 10:43:52,106.23
154,52,12,2025-02-20 04:31:05,565.54
155,52,1,2025-03-10 04:10:23,819.72
156,53,1,2025-03-08 20:51:49,665.76
157,53,2,2025-03-07 14:13:08,975.73
158,53,11,2025-02-13 13:48:10,907.21
159,54,10,2025-02-24 10:43:15,976.77
160,54,13,2025-03-05 22:29:25,232.44
161,54,1,2025-02-23 03:57:05,267.6
162,54,10,2025-03-01 22:03:43,381.54
163,55,1,2025-02-28 19:49:17,779.52
164,55,1,2025-02-10 21:36:12,274.21
165,55,5,2025-02-10 17:09:41,158.67
166,56,7,2025-03-03 03:32:33,870.93
167,56,15,2025-03-02 21:56:25,322.75
168,56,8,2025-02-21 02:53:28,619.59
169,56,2,2025-03-02 04:36:22,567.17
170,56,14,2025-02-17 20:01:43,107.67
171,57,4,2025-03-09 20:30:03,559.52
172,57,15,2025-03-11 12:38:46,815.79
173,57,1,2025-02-27 01:20:12,143.96
174,57,3,2025-02-25 13:06:44,960.0
175,58,6,2025-02-25 11:51:27,618.19
176,58,5,2025-03-10 23:00:32,167.53
177,58,10,2025-02-19 15:12:44,584.08
178,59,16,2025-03-03 20:32:23,286.35
179,60,12,2025-03-08 23:58:17,431.89
180,60,1,2025-02-27 09:36:25,980.61
181,60,16,2025-02-21 17:22:27,183.76
182,60,15,2025-03-02 19:23:03,125.3
183,60,15,2025-02-14 20:23:26,560.65
184,61,9,2025-02-16 14:40:17,756.66
185,61,10,2025-03-03 14:55:00,827.72
186,61,1,2025-02-12 01:29:43,104.02
187,61,15,2025-02-13 08:56:12,661.85
188,61,13,2025-03-11 23:51:45,539.02
189,62,3,2025-02-28 16:04:57,749.82
190,62,4,2025-02-16 05:09:42,577.78
191,62,14,2025-02-26 12:22:10,777.11
192,62,8,2025-03-07 08:45:40,794.24
193,62,15,2025-02-11 19:05:24,160.69
194,63,6,2025-02-16 11:36:58,900.14
195,63,10,2025-02-19 11:37:12,591.99
196,64,12,2025-02-13 07:20:39,635.96
197,64,10,2025-02-14 20:40:09,603.92
198,64,1,2025-02-15 09:02:59,694.58
199,64,12,2025-03-02 12:09:09,452.52
200,64,11,2025-02-13 16:28:19,885.54
201,65,7,2025-03-01 11:46:20,856.81
202,65,2,2025-02-12 01:19:19,473.26
203,65,7,2025-02-13 16:20:40,273.03
204,66,15,2025-03-03 16:53:26,328.13
205,66,13,2025-02-10 16:13:56,472.55
206,66,7,2025-02-22 00:11:40,497.8
207,67,4,2025-02-19 02:36:49,786.91
208,67,13,2025-03-01 20:25:17,383.27
209,68,9,2025-02-21 22:07:09,169.31
210,68,5,2025-02-19 22:00:00,128.1
211,68,10,2025-03-03 04:28:04,811.07
212,69,10,2025-03-07 20:27:11,958.44
213,69,9,2025-02-14 03:22:03,518.37
214,69,16,2025-03-07 14:26:17,490.63
215,69,2,2025-03-06 21:43:39,451.02
216,70,16,2025-02-11 05:24:19,906.28
217,71,10,2025-03-01 06:36:55,716.5
218,71,8,2025-02-25 12:59:57,209.16
219,72,11,2025-02-28 10:43:02,941.07
220,72,9,2025-02-27 12:40:05,294.58
221,72,3,2025-03-04 00:23:42,402.63
222,73,1,2025-02-14 07:39:56,327.92
223,73,11,2025-02-14 03:59:20,701.01
224,74,13,2025-03-04 01:06:28,536.45
225,74,8,2025-02-16 17:14:38,467.2
226,75,1,2025-03-04 07:55:38,467.92
227,75,14,2025-02-13 15:33:53,262.67
228,75,5,2025-02-25 01:54:26,638.93
229,76,2,2025-02-11 10:23:43,725.05
230,77,8,2025-03-04 23:00:10,350.0
231,78,15,2025-02-14 04:16:17,130.88
232,78,8,2025-02-18 22:11:32,846.06
233,78,9,2025-02-14 03:05:01,511.47
234,78,1,2025-03-03 19:56:45,230.62
235,78,15,2025-03-05 02:44:08,432.14
236,79,15,2025-03-01 14:36:03,202.31
237,79,16,2025-03-11 16:19:31,165.46
238,79,1,2025-02-21 16:28:54,347.59
239,80,6,2025-03-11 20:25:43,589.67
240,81,4,2025-03-07 16:26:46,527.7
241,82,12,2025-02-12 17:41:30,666.96
242,82,9,2025-02-27 01:55:40,119.75
243,82,13,2025-03-10 02:36:53,708.78
244,82,7,2025-02-25 02:40:43,846.54
245,83,6,2025-02-16 14:06:59,300.28
246,83,8,2025-02-15 14:16:13,233.91
247,83,5,2025-02-12 17:30:07,359.7
248,83,15,2025-02-18 17:10:15,879.63
249,84,9,2025-03-09 11:31:50,344.08
250,84,2,2025-03-09 18:48:57,313.82
251,84,4,2025-03-03 01:31:52,812.44
252,84,16,2025-02-22 23:48:33,710.43
253,85,11,2025-03-06 07:19:11,441.07
254,85,2,2025-02-18 01:24:25,190.08
255,85,12,2025-03-08 09:31:00,701.89
256,85,11,2025-02-25 20:34:10,606.43
257,85,7,2025-02-14 18:36:22,334.53
258,86,16,2025-03-03 20:06:51,591.49
259,86,9,2025-02-16 17:28:32,976.47
260,87,15,2025-02-27 05:51:16,194.2
261,87,11,2025-02-21 18:05:26,288.32
262,87,4,2025-03-01 10:19:48,815.64
263,88,6,2025-02-24 05:37:24,481.59
264,89,11,2025-02-17 03:39:19,716.25
265,89,11,2025-02-28 15:49:23,274.8
266,89,14,2025-02-15 13:11:15,694.69
267,90,4,2025-03-10 17:49:42,436.43
268,91,9,2025-02-12 05:36:29,140.45
269,91,4,2025-02-11 11:36:32,550.56
270,91,14,2025-02-13 08:07:15,347.02
271,91,12,2025-02-15 22:57:58,579.25
272,92,7,2025-02-12 08:59:30,224.62
273,93,8,2025-02-25 15:30:01,865.43
274,94,11,2025-02-11 15:12:28,333.56
275,94,11,2025-03-04 05:15:37,516.0
276,95,14,2025-02-21 22:20:24,509.14
277,95,4,2025-03-06 02:05:03,709.27
278,96,13,2025-03-10 11:49:05,773.67
279,96,1,2025-02-27 01:38:55,314.0
280,97,9,2025-02-22 23:33:19,670.88
281,97,10,2025-03-10 18:49:42,595.91
282,98,2,2025-02-23 12:32:54,133.1
283,98,10,2025-03-07 01:12:04,936.7
284,98,1,2025-03-06 17:47:45,386.81
285,99,5,2025-03-05 17:24:14,615.79
286,99,4,2025-02-18 17:36:49,649.68
287,100,16,2025-02-10 14:24:43,852.84
288,100,10,2025-02-21 22:57:36,456.39
289,100,14,2025-02-17 21:45:34,528.1
290,100,8,2025-03-10 18:44:59,760.46
291,101,1,2025-02-16 18:41:13,127.92
292,101,10,2025-02-14 10:18:19,722.88
293,101,5,2025-03-06 08:36:01,272.28
294,101,8,2025-03-05 14:13:56,914.05
295,101,7,2025-02-22 10:29:10,668.65
296,102,11,2025-02-26 14:40:17,520.93
297,102,4,2025-02-20 04:00:05,909.1
298,103,8,2025-02-13 11:12:33,670.85
299,103,12,2025-02-18 05:13:30,684.11
300,103,8,2025-02-14 04:17:30,928.37
301,103,5,2025-03-01 23:23:30,475.51
302,104,4,2025-03-02 23:13:29,587.42
303,105,14,2025-03-06 22:17:24,744.07
304,106,14,2025-02-19 09:59:28,146.14
305,106,4,2025-03-02 14:31:15,913.71
306,106,6,2025-02-25 01:28:04,992.32
307,106,11,2025-02-17 14:06:46,835.03
308,106,3,2025-02-27 17:02:07,827.62
309,107,13,2025-02-28 00:13:32,935.44
310,107,14,2025-02-25 13:15:16,719.24
311,107,2,2025-03-11 16:35:02,813.08
312,108,5,2025-03-04 08:04:36,701.66
313,108,4,2025-02-28 13:59:58,922.13
314,108,5,2025-03-07 00:55:24,190.52
315,108,16,2025-02-16 00:09:45,893.5
316,109,10,2025-02-25 22:01:59,212.05
317,110,3,2025-02-26 18:35:51,549.54
318,110,10,2025-02-19 12:18:45,795.55
319,111,3,2025-02-22 04:47:17,404.98
320,111,4,2025-02-21 03:32:20,668.53
321,112,1,2025-02-17 12:03:16,409.79
322,112,14,2025-02-21 01:44:01,138.23
323,113,4,2025-02-16 01:26:26,141.88
324,114,15,2025-03-11 19:38:33,378.7
325,114,11,2025-02-18 02:42:31,547.48
326,115,6,2025-02-19 01:47:08,347.19
327,116,6,2025-03-09 19:41:44,919.37
328,116,2,2025-02-25 13:08:23,440.72
329,116,11,2025-02-14 09:59:47,909.11
330,116,1,2025-03-01 04:44:52,839.42
331,116,1,2025-03-03 00:14:27,434.89
332,117,5,2025-03-03 02:22:58,837.35
333,117,7,2025-02-26 07:59:19,742.96
334,117,8,2025-03-12 11:35:17,436.98
335,117,9,2025-03-05 05:13:15,678.7
336,117,13,2025-02-13 17:04:19,738.88
337,118,7,2025-02-11 23:36:30,882.4
338,118,16,2025-02-22 02:59:16,816.23
339,118,16,2025-02-28 09:16:22,808.42
340,119,11,2025-02-17 00:39:37,639.47
341,119,5,2025-03-04 23:33:18,684.79
342,119,11,2025-03-07 03:36:22,600.18
343,119,5,2025-02-20 10:40:37,900.17
344,119,9,2025-02-21 05:46:15,265.01
345,120,7,2025-02-23 22:06:04,511.55
346,121,4,2025-03-08 16:01:44,788.58
347,121,4,2025-02-19 18:07:56,198.97
348,121,11,2025-02-26 04:59:52,447.23
349,121,6,2025-02-15 08:53:34,906.48
350,121,4,2025-02-12 13:31:55,959.98
351,122,16,2025-02-11 07:03:57,855.84
352,122,6,2025-02-26 16:46:14,739.86
353,123,12,2025-02-24 09:22:19,429.57
354,123,12,2025-02-25 11:13:42,349.83
355,123,13,2025-02-13 00:24:19,353.04
356,123,1,2025-03-06 17:41:48,624.81
357,123,4,2025-02-20 10:29:24,273.69
358,124,15,2025-02-11 17:14:19,483.35
359,125,5,2025-02-18 22:32:44,864.51
360,125,7,2025-03-02 19:14:36,795.55
361,125,7,2025-02-25 11:41:40,982.61
362,125,10,2025-03-08 19:52:23,413.83
363,125,15,2025-02-28 08:23:06,805.67
364,126,3,2025-02-26 14:50:26,410.26
365,126,4,2025-03-05 17:25:09,388.25
366,126,10,2025-03-01 09:54:41,421.84
367,126,6,2025-02-28 02:39:34,504.88
368,126,14,2025-03-08 16:22:16,973.42
369,127,11,2025-03-03 04:40:38,923.91
370,127,14,2025-03-03 21:17:41,528.91
371,127,11,2025-02-11 02:46:41,983.46
372,127,7,2025-02-13 02:07:13,595.01
373,128,16,2025-03-06 13:59:30,162.53
374,128,4,2025-02-26 22:20:51,828.92
375,128,15,2025-02-14 21:44:17,148.33
376,128,1,2025-02-18 10:53:08,586.58
377,129,12,2025-02-26 14:18:30,586.15
378,130,15,2025-03-05 22:14:44,604.26
379,130,7,2025-02-26 08:21:37,409.02
380,130,4,2025-03-11 16:28:19,900.63
381,131,11,2025-03-03 03:07:49,260.22
382,131,15,2025-02-27 22:52:24,349.83
383,131,8,2025-02-26 00:23:54,918.02
384,132,4,2025-03-04 17:12:25,328.08
385,132,6,2025-02-20 11:21:45,984.28
386,132,13,2025-03-12 10:43:13,437.73
387,132,15,2025-02-11 19:10:26,424.91
388,132,11,2025-03-07 15:43:36,682.6
389,133,14,2025-03-07 10:45:38,639.83
390,133,6,2025-02-26 11:26:13,800.19
391,133,1,2025-03-03 12:40:10,323.33
392,134,15,2025-03-02 06:59:03,483.76
393,134,16,2025-02-19 22:48:54,128.15
394,135,10,2025-02-15 13:59:38,492.0
395,135,16,2025-02-26 19:40:42,941.45
396,135,11,2025-02-23 16:36:26,856.59
397,135,12,2025-03-07 10:39:08,393.08
398,135,13,2025-03-01 22:32:20,263.14
399,136,5,2025-03-06 20:33:36,811.87
400,137,11,2025-02-28 18:40:22,663.78
401,137,14,2025-02-15 00:34:25,950.65
402,137,7,2025-02-21 18:07:53,152.85
403,137,15,2025-03-01 09:02:42,982.01
404,138,1,2025-03-07 20:40:18,480.95
405,138,14,2025-02-18 01:57:27,175.71
406,138,15,2025-02-20 17:54:37,804.47
407,138,8,2025-02-18 16:02:01,770.84
408,139,4,2025-02-20 18:20:47,660.58
409,140,13,2025-03-05 23:02:55,472.04
410,140,9,2025-02-27 05:20:22,313.64
411,141,15,2025-03-09 18:13:38,627.13
412,141,3,2025-03-02 00:18:26,310.83
413,142,8,2025-03-08 00:54:48,468.19
414,143,4,2025-03-02 14:59:09,629.87
415,144,12,2025-02-13 13:47:46,674.42
416,145,1,2025-03-04 18:41:23,465.92
417,145,11,2025-03-11 08:29:04,539.81
418,145,16,2025-03-04 06:32:26,283.25
419,145,15,2025-03-04 19:42:20,379.42
420,145,15,2025-03-07 19:26:19,601.47
421,146,7,2025-02-12 13:08:42,226.55
422,147,2,2025-02-19 17:45:37,430.63
423,147,4,2025-03-03 10:40:11,820.66
424,148,4,2025-02-20 17:27:09,448.07
425,148,5,2025-03-10 06:51:17,633.97
426,148,15,2025-02-19 06:55:13,142.69
427,149,6,2025-02-22 22:53:12,523.02
428,149,5,2025-03-03 02:22:36,797.64
429,149,9,2025-02-14 13:39:38,601.24
430,149,15,2025-02-27 12:37:59,794.03
431,149,16,2025-02-18 02:41:18,692.76
432,150,5,2025-03-05 04:09:34,444.69
433,151,10,2025-02-16 14:21:16,779.19
434,151,10,2025-03-02 23:21:29,527.18
435,152,16,2025-02-16 01:12:16,993.86
436,152,8,2025-02-17 05:28:44,612.63
437,152,3,2025-03-08 20:35:57,503.46
438,152,12,2025-02-28 13:58:49,514.2
439,152,16,2025-02-22 00:59:58,530.32
440,153,2,2025-03-03 16:01:56,657.83
441,153,15,2025-02-25 13:53:23,979.2
442,153,16,2025-03-09 05:55:26,114.31
443,153,4,2025-02-13 16:54:12,413.05
444,153,8,2025-02-28 00:41:32,435.96
445,154,7,2025-03-06 02:06:36,531.19
446,155,9,2025-03-10 19:17:33,423.94
447,155,14,2025-02-25 03:53:49,718.44
448,155,6,2025-02-11 23:20:10,961.19
449,155,8,2025-02-13 00:41:19,955.15
450,155,6,2025-03-07 20:19:11,884.52
451,156,15,2025-02-22 11:20:06,249.18
452,156,9,2025-02-20 13:36:23,434.43
453,156,8,2025-02-11 02:38:19,247.32
454,157,8,2025-03-11 17:20:49,856.93
455,157,12,2025-02-25 21:15:27,392.71
456,157,3,2025-02-25 10:19:10,600.0
457,158,9,2025-02-22 10:19:26,108.61
458,158,11,2025-02-22 10:32:26,632.54
459,158,7,2025-03-06 08:39:48,786.62
460,158,12,2025-03-01 04:33:39,749.96
461,159,12,2025-02-26 21:14:21,432.12
462,159,10,2025-03-01 22:34:57,541.93
463,159,10,2025-03-02 01:42:14,733.76
464,159,13,2025-03-05 19:02:51,715.02
465,160,10,2025-02-21 18:48:11,941.43
466,160,9,2025-03-07 05:13:47,573.92
467,161,8,2025-03-02 04:02:00,623.3
468,161,14,2025-03-05 12:54:35,725.92
469,161,12,2025-03-03 05:01:08,991.3
470,162,11,2025-02-16 07:35:19,968.22
471,163,6,2025-02-24 00:54:16,838.06
472,164,8,2025-02-15 13:05:29,377.22
473,164,12,2025-02-13 21:37:03,444.08
474,165,4,2025-03-01 16:56:30,777.98
475,165,14,2025-03-10 11:10:50,700.28
476,166,16,2025-03-02 16:47:38,616.45
477,166,7,2025-02-23 08:19:51,372.79
478,166,5,2025-02-25 12:25:20,298.28
479,166,6,2025-03-08 21:43:47,143.08
480,166,14,2025-03-09 17:44:56,380.74
481,167,15,2025-02-16 09:48:52,439.81
482,167,2,2025-02-25 11:44:02,946.74
483,168,7,2025-02-21 19:29:41,990.35
484,168,9,2025-02-13 19:29:38,296.28
485,169,9,2025-02-28 15:54:01,432.09
486,169,8,2025-02-22 07:05:25,712.31
487,169,7,2025-02-18 13:18:49,485.88
488,169,13,2025-02-12 12:33:04,125.14
489,170,11,2025-02-23 19:32:42,381.4
490,170,9,2025-02-12 02:34:02,566.53
491,170,14,2025-03-09 20:57:03,678.23
492,170,8,2025-03-09 18:16:59,157.29
493,170,12,2025-02-21 16:13:23,508.18
494,171,4,2025-02-13 13:57:46,135.75
495,171,10,2025-03-04 06:58:49,369.01
496,171,2,2025-03-06 00:23:30,566.58
497,171,12,2025-02-24 21:37:29,406.43
498,172,14,2025-02-12 17:55:21,902.38
499,172,5,2025-02-23 21:33:30,990.52
500,173,3,2025-02-22 23:41:13,523.33
501,173,5,2025-03-03 03:33:55,467.66
502,173,9,2025-03-08 13:04:56,151.22
503,174,16,2025-02-26 03:46:10,873.83
504,174,5,2025-03-08 18:55:21,214.75
505,175,15,2025-03-09 14:25:07,552.19
506,176,8,2025-03-10 15:37:08,816.93
507,177,13,2025-02-24 02:10:38,546.0
508,178,2,2025-03-03 21:09:43,977.62
509,178,7,2025-02-24 12:52:12,223.26
510,179,4,2025-02-18 02:54:24,752.91
511,179,2,2025-02-12 08:00:32,467.15
512,179,1,2025-03-03 23:35:45,326.79
513,179,7,2025-03-05 19:20:42,368.11
514,180,11,2025-02-24 10:57:05,193.95
515,180,11,2025-02-23 14:10:23,391.52
516,180,2,2025-02-18 05:29:22,254.73
517,181,7,2025-02-17 21:55:26,885.07
518,182,15,2025-02-16 13:56:37,850.54
519,182,5,2025-02-11 07:19:42,326.29
520,182,8,2025-02-26 16:34:18,941.87
521,183,6,2025-03-10 06:07:42,289.51
522,183,12,2025-02-23 04:31:42,228.17
523,183,11,2025-03-01 08:19:47,802.57
524,183,1,2025-02-26 07:33:14,978.51
525,183,10,2025-02-19 16:40:43,667.86
526,184,7,2025-02-24 04:48:16,670.06
527,184,1,2025-02-24 10:15:13,665.74
528,185,1,2025-03-06 05:49:00,286.74
529,185,5,2025-02-15 12:29:49,488.07
530,185,16,2025-02-22 14:21:04,190.35
531,185,7,2025-03-03 07:50:48,623.27
532,186,2,2025-02-15 04:25:20,657.86
533,186,6,2025-02-28 00:14:24,910.76
534,186,5,2025-03-05 17:44:06,227.62
535,186,15,2025-03-08 21:44:14,312.3
536,187,1,2025-03-05 00:53:32,761.33
537,187,7,2025-03-02 19:03:26,865.45
538,188,11,2025-02-26 09:52:58,122.6
539,188,14,2025-02-25 23:40:08,224.59
540,188,9,2025-03-11 04:28:27,220.4
541,188,15,2025-02-20 14:25:48,528.95
542,189,14,2025-02-11 07:25:33,946.37
543,189,4,2025-02-22 14:14:08,594.92
544,190,14,2025-02-20 19:47:18,184.31
545,191,13,2025-02-13 14:05:00,256.31
546,191,8,2025-03-07 23:29:59,326.71
547,191,6,2025-02-18 18:14:49,557.15
548,192,6,2025-02-16 06:32:52,967.82
549,193,11,2025-02-26 13:52:17,315.96
550,193,8,2025-02-15 02:29:09,137.93
551,194,6,2025-03-03 08:53:26,879.61
552,194,5,2025-03-09 17:32:09,822.41
553,194,4,2025-02-26 03:35:41,921.3
554,195,8,2025-02-26 14:16:47,823.77
555,195,14,2025-03-05 16:07:55,744.1
556,195,11,2025-02-17 21:54:17,988.43
557,196,14,2025-02-18 20:42:47,251.7
558,196,12,2025-02-22 12:42:42,407.73
559,196,5,2025-02-17 22:58:45,514.33
560,196,13,2025-02-17 15:27:03,498.73
561,196,1,2025-03-05 19:02:01,852.57
562,197,15,2025-02-24 10:29:09,150.77
563,197,6,2025-02-17 00:31:19,573.57
564,197,5,2025-02-19 04:05:53,651.64
565,198,15,2025-02-11 23:17:30,494.9
566,198,10,2025-03-01 19:05:11,415.95
567,198,8,2025-03-11 04:12:28,123.0
568,199,13,2025-02-27 06:18:37,111.17
569,199,3,2025-03-11 17:45:23,598.11
570,199,3,2025-02-21 20:12:08,812.24
571,199,16,2025-02-22 11:49:18,460.17
572,200,9,2025-03-05 05:28:56,352.95
573,200,2,2025-03-09 13:04:10,492.05
574,201,11,2025-03-07 02:32:40,307.26
575,201,12,2025-02-11 16:43:28,472.53
576,201,1,2025-02-22 19:44:28,466.15
577,201,10,2025-03-04 15:54:46,994.95
578,201,14,2025-03-08 02:00:47,322.66
579,202,2,2025-03-10 01:00:40,339.83
580,202,3,2025-02-22 18:34:24,208.18
581,202,10,2025-03-02 11:52:43,731.82
582,202,6,2025-02-18 02:52:03,868.62
583,203,8,2025-03-04 11:34:53,257.14
584,203,14,2025-02-10 18:23:24,974.33
585,204,10,2025-02-11 21:33:04,427.03
586,204,15,2025-02-14 16:25:00,121.82
587,204,7,2025-03-06 01:33:43,610.91
588,205,8,2025-02-27 23:25:36,221.85
589,205,7,2025-03-04 20:00:06,611.47
590,206,8,2025-02-16 20:33:01,357.77
591,206,4,2025-03-10 14:42:06,859.27
592,207,13,2025-02-16 08:55:05,847.95
593,207,10,2025-03-10 11:31:06,589.61
594,207,4,2025-03-07 06:20:42,770.19
595,208,4,2025-02-13 01:08:00,320.53
596,208,5,2025-02-25 03:17:01,306.55
597,209,8,2025-03-03 18:52:12,548.23
598,209,15,2025-03-08 10:49:25,893.32
599,210,9,2025-03-02 02:48:16,558.29
600,210,7,2025-02-27 08:09:26,381.84
601,210,3,2025-03-03 12:35:09,800.55
602,211,9,2025-03-10 12:17:11,984.76
603,211,12,2025-03-11 06:43:17,530.05
604,211,13,2025-02-26 05:00:54,802.33
605,211,3,2025-02-22 03:21:59,470.78
606,211,1,2025-02-12 04:49:49,828.64
