transaction_id,user_id,amount,points_earned,transaction_datetime,transaction_type
122,25,64.14,64,2024-03-12 19:28:35,Purchase
123,25,64.52,64,2025-01-07 04:09:21,Bonus
124,25,23.64,23,2024-06-26 03:33:50,Purchase
125,25,45.33,45,2024-07-02 04:31:52,Bonus
126,26,63.02,63,2024-11-29 20:45:01,Bonus
127,26,52.3,52,2024-04-17 09:26:35,Bonus
128,26,80.68,80,2024-04-22 22:52:02,Purchase
129,26,74.62,74,2024-08-07 22:44:48,Purchase
130,26,12.99,12,2024-11-10 18:14:36,Purchase
131,27,66.11,66,2025-02-27 17:22:20,Purchase
132,27,87.29,87,2024-05-11 09:48:24,Purchase
133,27,26.52,26,2025-01-22 13:07:34,Bonus
134,27,88.85,88,2024-07-23 04:18:05,Bonus
135,27,35.81,35,2024-10-21 19:58:14,Bonus
136,28,70.53,70,2024-11-28 03:26:07,Bonus
137,28,55.95,55,2024-06-08 13:14:46,Purchase
138,28,56.78,56,2024-10-06 10:14:00,Bonus
139,28,81.63,81,2024-11-16 00:24:07,Purchase
140,28,13.34,13,2024-03-29 01:18:49,Purchase
141,29,86.68,86,2024-12-24 22:34:29,Purchase
142,29,83.89,83,2025-01-06 06:05:57,Bonus
143,29,22.25,22,2024-04-27 06:11:40,Purchase
144,29,63.98,63,2024-11-16 16:46:20,Purchase
145,29,25.8,25,2024-07-30 16:08:20,Bonus
146,30,64.38,64,2024-08-01 04:42:53,Purchase
147,30,27.05,27,2024-12-13 13:33:29,Bonus
148,30,80.97,80,2024-06-07 04:01:37,Purchase
149,30,72.4,72,2024-05-31 10:37:40,Purchase
150,30,53.27,53,2025-01-15 04:06:04,Bonus
151,31,73.58,73,2024-08-16 10:20:09,Purchase
152,31,69.65,69,2024-03-15 07:58:04,Bonus
153,31,76.47,76,2024-09-23 18:43:29,Purchase
154,31,82.95,82,2024-04-29 02:23:30,Bonus
155,31,80.43,80,2024-09-27 11:34:20,Bonus
156,32,91.91,91,2024-03-14 05:46:25,Bonus
157,32,77.38,77,2024-11-17 02:53:02,Bonus
158,32,81.69,81,2024-06-04 09:10:57,Bonus
159,32,73.91,73,2024-10-22 14:20:16,Purchase
160,32,24.44,24,2024-11-17 05:37:06,Bonus
161,33,83.59,83,2024-09-15 09:34:16,Purchase
162,33,18.82,18,2024-03-27 01:44:30,Purchase
163,33,21.96,21,2024-03-23 15:06:14,Bonus
164,33,87.06,87,2024-03-23 01:10:55,Purchase
165,33,12.57,12,2024-10-29 01:37:46,Purchase
166,34,11.09,11,2024-09-06 01:27:48,Purchase
167,34,13.73,13,2024-07-30 07:12:04,Purchase
168,34,59.91,59,2024-11-16 03:43:52,Bonus
169,34,72.28,72,2025-01-31 07:28:59,Bonus
170,34,27.55,27,2024-07-12 05:09:41,Purchase
171,35,95.99,95,2024-04-06 06:50:58,Bonus
172,35,63.33,63,2024-04-24 23:47:43,Purchase
173,35,39.21,39,2024-11-09 04:18:46,Bonus
174,35,31.32,31,2024-06-08 15:40:48,Purchase
175,35,55.32,55,2025-01-23 12:02:30,Bonus
176,36,12.48,12,2024-10-09 05:44:05,Bonus
177,36,46.66,46,2024-04-05 19:43:45,Purchase
178,36,45.18,45,2024-11-26 11:14:57,Purchase
179,36,13.6,13,2024-12-28 01:20:28,Bonus
180,36,80.72,80,2025-01-15 03:04:21,Purchase
181,37,81.93,81,2024-05-25 06:43:19,Bonus
182,37,80.14,80,2024-07-26 15:08:35,Bonus
183,37,91.69,91,2024-07-15 06:48:41,Purchase
184,37,48.99,48,2024-05-14 08:28:50,Purchase
185,37,41.01,41,2024-05-18 22:12:58,Bonus
186,38,42.61,42,2024-04-23 15:57:49,Bonus
187,38,56.99,56,2024-06-21 15:14:47,Purchase
188,38,96.06,96,2024-05-26 12:42:49,Bonus
189,38,16.85,16,2024-08-20 10:46:10,Purchase
190,38,92.55,92,2024-08-22 15:08:13,Purchase
191,39,39.71,39,2024-10-18 23:48:07,Bonus
192,39,88.83,88,2025-03-11 07:06:50,Purchase
193,39,51.6,51,2024-11-18 15:27:43,Bonus
194,39,27.31,27,2024-04-03 14:07:20,Purchase
195,39,96.8,96,2024-08-05 03:55:03,Bonus
196,40,75.7,75,2024-08-09 16:49:25,Bonus
197,40,83.64,83,2025-01-07 20:58:57,Purchase
198,40,33.99,33,2024-08-29 08:04:12,Bonus
199,40,94.41,94,2025-02-04 09:54:10,Bonus
200,40,61.03,61,2024-03-24 16:09:39,Bonus
201,41,78.95,78,2024-05-03 05:45:44,Purchase
202,41,16.85,16,2024-07-10 19:31:20,Purchase
203,41,84.61,84,2024-06-11 08:27:24,Purchase
204,41,28.09,28,2024-06-16 10:54:55,Bonus
205,41,30.0,30,2024-10-09 13:48:17,Bonus
206,42,83.15,83,2025-01-29 01:38:27,Purchase
207,42,16.41,16,2025-02-01 13:21:09,Purchase
208,42,46.99,46,2024-08-01 10:21:13,Bonus
209,42,57.47,57,2025-02-17 12:15:03,Bonus
210,42,31.23,31,2024-09-08 08:47:20,Purchase
211,43,83.08,83,2025-01-05 16:34:21,Bonus
212,43,77.02,77,2024-09-18 16:09:22,Bonus
213,43,61.02,61,2024-08-18 02:01:47,Purchase
214,43,30.96,30,2024-08-11 00:18:31,Purchase
215,43,67.61,67,2024-11-03 19:32:00,Purchase
216,44,11.89,11,2024-04-28 01:26:24,Purchase
217,44,37.78,37,2024-08-12 06:33:26,Bonus
218,44,32.07,32,2024-10-08 17:23:36,Bonus
219,44,46.67,46,2024-09-01 18:39:56,Purchase
220,44,19.53,19,2024-08-15 22:42:36,Purchase
221,45,38.03,38,2024-06-09 21:01:09,Bonus
222,45,52.84,52,2025-02-20 01:57:19,Bonus
223,45,12.67,12,2025-02-23 03:11:55,Purchase
224,45,67.94,67,2024-07-07 14:54:53,Bonus
225,45,97.94,97,2024-08-10 01:32:19,Purchase
226,46,56.28,56,2024-07-13 02:35:36,Purchase
227,46,36.61,36,2025-01-01 16:14:02,Purchase
228,46,45.59,45,2025-02-07 06:30:54,Purchase
229,46,81.49,81,2024-06-22 06:56:11,Purchase
230,46,70.57,70,2024-10-20 23:46:32,Bonus
231,47,68.5,68,2024-08-26 09:27:30,Bonus
232,47,29.07,29,2025-01-05 17:24:07,Bonus
233,47,79.52,79,2024-03-14 00:33:34,Bonus
234,47,62.75,62,2024-03-25 06:02:53,Purchase
235,47,18.28,18,2024-10-01 22:02:40,Purchase
236,48,73.62,73,2024-05-14 07:36:30,Purchase
237,48,20.69,20,2024-09-25 08:23:41,Purchase
238,48,86.95,86,2024-03-19 12:30:51,Bonus
239,48,63.77,63,2024-11-15 17:17:56,Purchase
240,48,69.43,69,2024-04-04 13:49:39,Purchase
241,49,41.64,41,2025-03-11 18:19:12,Bonus
242,49,43.83,43,2024-12-30 18:42:47,Purchase
243,49,79.95,79,2024-11-19 10:56:47,Bonus
244,49,23.85,23,2025-02-25 13:34:25,Purchase
245,49,51.3,51,2024-08-06 16:25:03,Purchase
246,50,57.13,57,2024-10-13 15:36:12,Purchase
247,50,83.05,83,2024-08-20 18:49:28,Purchase
248,50,11.32,11,2024-09-07 04:51:50,Purchase
249,50,88.17,88,2024-12-22 13:15:23,Bonus
250,50,27.22,27,2024-06-27 05:43:48,Purchase
251,51,59.49,59,2024-09-10 11:17:05,Purchase
252,51,43.69,43,2024-09-29 02:29:15,Bonus
253,51,82.51,82,2024-12-05 14:08:46,Bonus
254,51,83.35,83,2024-06-15 10:23:52,Purchase
255,51,71.47,71,2024-06-28 07:40:34,Purchase
256,52,57.17,57,2024-08-10 16:34:46,Purchase
257,52,49.2,49,2024-03-19 11:36:10,Purchase
258,52,56.68,56,2024-04-24 01:38:57,Purchase
259,52,49.92,49,2024-03-12 17:24:56,Bonus
260,52,28.7,28,2024-06-06 04:07:10,Bonus
261,53,67.27,67,2024-08-12 16:40:18,Bonus
262,53,84.59,84,2024-10-13 13:12:14,Purchase
263,53,77.48,77,2024-10-10 22:01:45,Purchase
264,53,87.29,87,2024-12-09 12:29:18,Purchase
265,53,41.5,41,2024-11-12 18:14:46,Bonus
266,54,21.22,21,2024-09-20 22:59:45,Bonus
267,54,37.93,37,2024-04-24 13:44:51,Purchase
268,54,10.67,10,2024-10-08 06:24:30,Purchase
269,54,94.16,94,2024-09-09 00:27:46,Purchase
270,54,39.39,39,2024-10-30 11:17:50,Bonus
271,55,82.73,82,2024-10-31 10:22:09,Bonus
272,55,74.31,74,2025-03-06 07:40:39,Purchase
273,55,27.12,27,2024-08-28 12:30:11,Bonus
274,55,50.42,50,2025-03-10 20:41:53,Purchase
275,55,30.21,30,2025-01-25 17:09:56,Bonus
276,56,22.68,22,2025-01-07 05:45:35,Purchase
277,56,20.05,20,2024-05-03 13:36:17,Bonus
278,56,61.15,61,2024-12-11 22:47:32,Bonus
279,56,24.97,24,2024-04-29 13:05:55,Purchase
280,56,41.43,41,2024-07-05 08:56:17,Bonus
281,57,37.31,37,2024-04-24 19:10:03,Bonus
282,57,71.2,71,2024-07-21 22:37:28,Bonus
283,57,81.47,81,2025-01-30 02:13:20,Purchase
284,57,51.27,51,2024-05-30 08:06:09,Bonus
285,57,60.07,60,2024-06-15 02:13:24,Purchase
286,58,79.04,79,2025-01-03 16:11:55,Bonus
287,58,51.31,51,2024-09-26 06:25:42,Purchase
288,58,22.42,22,2024-05-18 04:16:32,Bonus
289,58,34.98,34,2024-05-26 21:32:25,Bonus
290,58,34.44,34,2024-07-15 12:38:00,Purchase
291,59,51.75,51,2024-07-05 13:01:15,Purchase
292,59,19.29,19,2025-02-01 22:53:38,Purchase
293,59,84.68,84,2024-11-08 02:01:37,Purchase
294,59,65.14,65,2024-05-08 09:14:30,Bonus
295,59,22.85,22,2024-11-20 08:04:04,Purchase
296,60,50.0,50,2024-04-25 15:30:35,Purchase
297,60,85.97,85,2024-04-26 03:22:38,Bonus
298,60,26.27,26,2024-09-04 18:45:44,Bonus
299,60,74.74,74,2024-06-19 09:46:20,Purchase
300,60,94.23,94,2024-07-18 23:09:22,Purchase
301,61,34.48,34,2024-03-25 07:27:37,Bonus
302,61,12.4,12,2025-02-22 16:10:09,Purchase
303,61,22.49,22,2025-03-02 22:59:57,Purchase
304,61,85.36,85,2024-08-02 02:27:56,Bonus
305,61,97.55,97,2024-11-23 08:49:07,Purchase
306,62,36.05,36,2024-06-23 18:11:15,Bonus
307,62,58.72,58,2024-07-14 07:17:18,Bonus
308,62,70.94,70,2024-05-11 20:54:45,Purchase
309,62,20.93,20,2024-05-23 06:34:05,Purchase
310,62,16.85,16,2024-05-28 14:39:36,Purchase
311,63,90.74,90,2024-04-15 00:26:00,Bonus
312,63,25.0,25,2025-01-07 13:55:30,Purchase
313,63,27.19,27,2024-10-19 08:41:28,Bonus
314,63,46.33,46,2024-04-05 18:51:27,Purchase
315,63,31.57,31,2025-02-04 00:17:55,Bonus
316,64,77.08,77,2024-09-05 17:58:47,Bonus
317,64,87.96,87,2024-03-31 02:32:43,Bonus
318,64,52.15,52,2024-08-15 00:40:13,Bonus
319,64,46.0,46,2024-10-19 14:34:31,Purchase
320,64,46.38,46,2024-07-27 06:54:39,Purchase
321,65,98.09,98,2024-12-28 13:51:43,Purchase
322,65,37.37,37,2024-03-13 01:18:02,Purchase
323,65,47.05,47,2025-03-07 15:22:45,Purchase
324,65,68.69,68,2025-02-22 04:29:50,Purchase
325,65,30.69,30,2025-03-02 06:39:43,Purchase
326,66,94.91,94,2024-09-25 06:12:45,Purchase
327,66,19.45,19,2024-08-29 05:09:57,Bonus
328,66,73.55,73,2025-02-24 21:21:35,Bonus
329,66,74.16,74,2024-07-31 20:51:12,Bonus
330,66,88.44,88,2024-09-06 06:09:32,Bonus
331,67,49.41,49,2024-09-25 23:08:26,Purchase
332,67,65.47,65,2024-10-23 04:00:15,Bonus
333,67,82.71,82,2024-08-12 22:43:34,Bonus
334,67,42.51,42,2024-05-15 20:05:26,Bonus
335,67,36.64,36,2024-06-03 19:01:14,Bonus
336,68,43.5,43,2024-07-23 16:56:58,Purchase
337,68,37.63,37,2024-07-11 17:43:14,Purchase
338,68,11.08,11,2025-02-02 04:33:34,Bonus
339,68,23.04,23,2024-11-19 04:28:16,Bonus
340,68,28.66,28,2024-07-17 21:09:30,Bonus
341,69,50.6,50,2025-01-28 21:58:01,Purchase
342,69,22.0,22,2024-07-10 06:24:01,Purchase
343,69,27.4,27,2024-07-27 04:20:56,Bonus
344,69,59.59,59,2024-07-25 13:59:04,Bonus
345,69,11.05,11,2025-01-01 20:56:37,Bonus
346,70,97.79,97,2024-07-28 03:22:28,Purchase
347,70,86.29,86,2024-10-14 13:06:03,Bonus
348,70,17.81,17,2024-12-04 22:20:50,Bonus
349,70,19.34,19,2024-03-13 08:29:25,Purchase
350,70,24.53,24,2024-10-07 19:51:50,Purchase
351,71,47.49,47,2025-02-14 06:17:34,Bonus
352,71,22.53,22,2024-10-21 10:07:42,Purchase
353,71,34.59,34,2024-05-10 00:10:22,Bonus
354,71,21.14,21,2024-12-29 03:18:59,Purchase
355,71,80.45,80,2024-09-26 09:57:24,Bonus
356,72,30.22,30,2024-05-24 15:28:19,Purchase
357,72,33.78,33,2024-11-30 01:14:43,Bonus
358,72,24.0,24,2024-11-03 08:55:27,Purchase
359,72,53.74,53,2025-01-17 08:46:20,Purchase
360,72,29.03,29,2024-11-24 01:51:48,Bonus
361,73,59.25,59,2024-09-18 01:05:45,Bonus
362,73,71.79,71,2024-07-27 11:38:13,Purchase
363,73,93.1,93,2025-01-27 13:34:55,Bonus
364,73,62.36,62,2024-04-22 23:54:12,Bonus
365,73,20.8,20,2024-12-24 00:36:35,Bonus
366,74,69.32,69,2024-07-20 07:30:00,Bonus
367,74,12.18,12,2024-04-29 02:32:07,Purchase
368,74,53.8,53,2024-12-01 00:04:18,Bonus
369,74,98.06,98,2024-12-13 23:00:47,Bonus
370,74,77.35,77,2024-04-12 15:18:35,Purchase
371,75,93.32,93,2025-02-16 10:57:45,Bonus
372,75,12.11,12,2024-07-08 17:27:58,Bonus
373,75,46.64,46,2024-09-20 17:42:01,Purchase
374,75,72.2,72,2025-03-08 06:02:17,Bonus
375,75,62.89,62,2024-07-28 22:02:08,Purchase
376,76,43.64,43,2024-09-24 01:37:35,Purchase
377,76,92.85,92,2024-05-18 03:12:21,Purchase
378,76,95.04,95,2024-05-26 06:40:54,Purchase
379,76,90.65,90,2024-06-11 17:31:32,Bonus
380,76,14.56,14,2024-08-14 13:01:10,Purchase
381,77,27.29,27,2024-04-13 08:06:58,Bonus
382,77,66.84,66,2024-04-28 11:45:50,Purchase
383,77,34.98,34,2025-01-11 22:25:32,Purchase
384,77,91.72,91,2025-02-11 06:48:52,Purchase
385,77,42.19,42,2024-09-29 12:11:26,Bonus
386,78,40.79,40,2024-08-16 17:55:38,Bonus
387,78,89.29,89,2024-12-08 20:32:14,Purchase
388,78,58.16,58,2024-04-23 15:42:09,Purchase
389,78,77.84,77,2024-03-14 02:31:53,Purchase
390,78,27.62,27,2025-01-09 17:05:58,Bonus
391,79,91.75,91,2024-10-11 02:06:37,Bonus
392,79,24.72,24,2025-03-06 12:22:56,Bonus
393,79,84.87,84,2024-12-29 05:41:49,Purchase
394,79,52.5,52,2024-12-19 08:53:37,Purchase
395,79,53.04,53,2025-01-30 19:03:36,Bonus
396,80,54.84,54,2024-12-24 11:37:29,Purchase
397,80,66.92,66,2025-03-06 10:02:28,Purchase
398,80,38.95,38,2024-05-28 08:16:02,Bonus
399,80,50.5,50,2025-01-26 12:11:06,Purchase
400,80,27.56,27,2025-02-04 18:57:01,Purchase
401,81,19.18,19,2024-09-27 12:12:52,Purchase
402,81,87.33,87,2024-06-12 18:33:45,Bonus
403,81,74.14,74,2024-11-12 19:48:10,Purchase
404,81,31.5,31,2024-06-16 09:35:42,Purchase
405,81,60.37,60,2024-12-07 09:08:24,Purchase
406,82,90.85,90,2025-01-17 22:12:43,Purchase
407,82,97.25,97,2024-06-25 19:30:33,Purchase
408,82,48.21,48,2024-06-13 06:35:21,Purchase
409,82,12.05,12,2024-07-18 13:01:22,Bonus
410,82,14.38,14,2024-12-02 01:45:56,Bonus
411,83,12.91,12,2025-02-26 03:14:07,Purchase
412,83,23.45,23,2024-11-13 06:27:00,Purchase
413,83,90.21,90,2024-03-24 11:58:45,Purchase
414,83,35.53,35,2025-02-22 07:56:18,Purchase
415,83,54.87,54,2024-11-14 09:06:48,Bonus
416,84,28.94,28,2024-04-21 06:02:43,Bonus
417,84,73.92,73,2024-06-23 18:01:37,Purchase
418,84,58.99,58,2024-09-01 11:12:09,Bonus
419,84,18.79,18,2024-11-07 17:29:42,Bonus
420,84,93.87,93,2024-05-24 14:43:30,Bonus
421,85,92.95,92,2025-01-09 20:17:05,Bonus
422,85,91.38,91,2024-04-04 12:21:41,Purchase
423,85,59.81,59,2024-12-13 20:01:49,Bonus
424,85,82.67,82,2024-08-16 20:56:48,Purchase
425,85,35.83,35,2024-12-18 16:34:52,Purchase
426,86,53.88,53,2024-03-23 17:37:31,Purchase
427,86,24.22,24,2025-01-04 00:38:44,Purchase
428,86,23.85,23,2024-05-16 15:10:53,Purchase
429,86,75.46,75,2024-07-30 11:13:12,Bonus
430,86,81.83,81,2024-09-02 02:06:59,Bonus
431,87,14.29,14,2024-08-05 12:40:12,Bonus
432,87,56.08,56,2024-11-27 20:09:04,Bonus
433,87,42.29,42,2024-09-06 08:45:31,Purchase
434,87,89.57,89,2024-05-16 08:55:49,Bonus
435,87,45.28,45,2024-11-13 11:51:47,Purchase
436,88,23.13,23,2024-08-29 02:00:42,Bonus
437,88,62.63,62,2024-08-14 16:57:45,Bonus
438,88,74.37,74,2024-12-29 10:52:36,Purchase
439,88,21.09,21,2025-01-25 09:51:52,Purchase
440,88,38.45,38,2025-01-24 06:33:40,Bonus
441,89,68.51,68,2024-07-12 22:28:33,Purchase
442,89,24.36,24,2024-08-29 20:05:16,Purchase
443,89,87.72,87,2024-06-01 06:34:44,Purchase
444,89,80.07,80,2024-08-25 18:56:22,Bonus
445,89,98.52,98,2024-03-13 10:52:05,Bonus
446,90,60.96,60,2024-08-29 12:40:57,Purchase
447,90,57.5,57,2025-01-22 16:14:36,Bonus
448,90,95.44,95,2024-12-12 13:24:50,Purchase
449,90,12.58,12,2024-11-01 05:55:53,Purchase
450,90,89.35,89,2024-04-22 02:13:19,Purchase
451,91,99.18,99,2024-07-02 21:50:04,Bonus
452,91,49.66,49,2024-11-03 15:49:09,Purchase
453,91,60.83,60,2025-02-24 07:48:37,Bonus
454,91,13.89,13,2024-09-20 01:54:11,Bonus
455,91,32.91,32,2024-06-21 20:15:33,Bonus
456,92,82.75,82,2024-09-10 13:28:05,Bonus
457,92,70.26,70,2024-12-01 07:36:59,Purchase
458,92,67.86,67,2024-11-21 12:06:53,Bonus
459,92,69.95,69,2024-05-31 11:47:39,Bonus
460,92,40.09,40,2024-09-23 09:28:28,Bonus
461,93,33.81,33,2024-07-22 11:58:16,Bonus
462,93,33.47,33,2024-08-28 20:59:17,Purchase
463,93,52.74,52,2024-05-07 16:43:33,Bonus
464,93,46.65,46,2024-10-03 16:47:06,Bonus
465,93,47.04,47,2024-06-11 13:36:12,Purchase
466,94,89.52,89,2024-07-26 03:56:49,Purchase
467,94,36.45,36,2024-07-06 13:00:53,Bonus
468,94,37.29,37,2025-02-03 01:01:15,Bonus
469,94,52.26,52,2025-02-11 09:19:09,Purchase
470,94,12.14,12,2024-04-22 09:22:35,Purchase
471,95,17.44,17,2024-09-14 16:44:48,Purchase
472,95,59.56,59,2025-03-05 15:42:41,Purchase
473,95,61.98,61,2024-03-21 14:27:24,Purchase
474,95,61.63,61,2024-07-25 02:11:41,Bonus
475,95,97.84,97,2025-03-02 08:10:35,Bonus
476,96,93.47,93,2024-09-03 07:11:34,Purchase
477,96,47.86,47,2024-06-07 10:12:34,Purchase
478,96,72.89,72,2024-11-06 09:51:43,Bonus
479,96,92.8,92,2024-10-23 18:50:16,Purchase
480,96,80.66,80,2024-04-17 23:28:20,Bonus
481,97,73.56,73,2024-12-19 03:37:44,Bonus
482,97,85.12,85,2024-08-31 10:22:18,Purchase
483,97,20.42,20,2024-04-06 12:04:06,Bonus
484,97,55.97,55,2025-02-12 05:27:33,Bonus
485,97,84.39,84,2025-01-10 12:54:40,Purchase
486,98,25.51,25,2025-02-07 08:56:24,Purchase
487,98,23.25,23,2024-12-10 02:40:13,Bonus
488,98,80.72,80,2024-06-06 10:19:35,Bonus
489,98,69.43,69,2024-12-09 04:05:13,Purchase
490,98,77.19,77,2024-06-24 14:53:12,Bonus
491,99,24.21,24,2024-12-04 16:14:37,Bonus
492,99,62.06,62,2025-02-01 01:07:51,Purchase
493,99,14.27,14,2025-01-16 09:37:33,Purchase
494,99,44.4,44,2024-07-08 10:11:16,Purchase
495,99,39.64,39,2024-09-17 23:52:52,Bonus
496,100,46.44,46,2025-01-08 12:26:13,Purchase
497,100,24.32,24,2024-09-26 00:51:42,Purchase
