order_id,booking_id,screen_id,seat_id,order_datetime,total_cost,delivery_method
79,51,3,597,24-02-2025 01:04,32.1,Counter
80,52,1,39,11-03-2025 14:41,19.49,Counter
81,53,3,3,28-02-2025 15:21,42.67,Counter
82,54,3,67,08-03-2025 07:30,35.65,Seat
83,56,4,715,05-03-2025 21:51,32.07,Seat
84,56,2,602,07-03-2025 21:36,34.36,Seat
85,57,1,107,08-03-2025 18:39,17.99,Seat
86,58,4,588,27-02-2025 16:38,30.35,Counter
87,58,3,45,25-02-2025 00:34,11.98,Counter
88,58,4,112,26-02-2025 20:28,34.91,Counter
89,63,1,473,07-03-2025 13:01,35.5,Seat
90,63,1,241,11-03-2025 02:29,22.6,Counter
91,64,4,155,01-03-2025 16:31,41.74,Counter
92,64,2,457,06-03-2025 11:15,48.24,Counter
93,66,1,230,07-03-2025 21:05,33.8,Counter
94,67,2,654,12-03-2025 10:00,42.28,Counter
95,67,2,704,05-03-2025 10:11,31.41,Seat
96,68,1,332,03-03-2025 02:30,45.37,Counter
97,68,3,158,07-03-2025 19:24,17.34,Seat
98,69,4,64,09-03-2025 23:30,28.02,Seat
99,69,2,778,11-03-2025 23:30,38.48,Counter
100,69,4,444,12-03-2025 06:22,26.1,Seat
101,70,2,143,06-03-2025 15:13,40.21,Counter
102,70,2,72,04-03-2025 19:06,28.2,Counter
103,70,3,455,04-03-2025 05:38,28.98,Counter
104,72,3,627,14-02-2025 06:52,39.25,Counter
105,73,3,272,01-03-2025 05:37,18.21,Counter
106,73,4,732,05-03-2025 16:34,47.13,Counter
107,73,4,738,23-02-2025 03:18,22.09,Counter
108,74,3,652,11-03-2025 15:21,48.93,Seat
109,74,3,374,11-03-2025 17:04,18.85,Seat
110,74,3,442,11-03-2025 18:43,37.87,Seat
111,75,2,156,26-02-2025 21:49,21.92,Seat
112,76,4,383,11-03-2025 12:28,39.67,Seat
113,76,4,89,10-03-2025 21:05,19.41,Seat
114,77,1,105,09-03-2025 23:11,23.98,Counter
115,77,3,439,09-03-2025 21:54,39.04,Counter
116,77,1,192,11-03-2025 07:39,26.11,Seat
117,79,3,651,05-03-2025 11:19,18.77,Seat
118,79,3,89,11-03-2025 19:04,16.02,Seat
119,79,1,635,08-03-2025 12:44,35.6,Counter
120,80,4,584,12-03-2025 06:03,41.57,Seat
121,80,2,780,08-03-2025 12:40,42.11,Counter
122,80,3,98,23-02-2025 19:42,15.41,Counter
123,81,3,279,03-03-2025 21:28,39.6,Counter
124,81,3,379,19-02-2025 04:53,34.95,Counter
125,82,4,67,10-03-2025 20:14,34.29,Seat
126,83,1,514,01-03-2025 05:43,21.1,Seat
127,84,3,775,04-03-2025 10:41,21.62,Counter
128,84,2,75,07-03-2025 10:21,40.58,Counter
129,84,1,718,02-03-2025 14:03,49.6,Counter
130,85,3,302,10-03-2025 19:34,14.83,Counter
131,86,3,317,17-02-2025 16:17,16.38,Counter
132,86,2,565,19-02-2025 09:32,26.88,Seat
133,87,4,661,20-02-2025 14:21,32.1,Counter
134,87,4,173,26-02-2025 02:33,20.86,Counter
135,87,3,438,27-02-2025 12:47,34.24,Seat
136,88,2,122,06-03-2025 04:59,49.51,Counter
137,88,3,363,08-03-2025 12:15,23.13,Counter
138,88,2,337,12-03-2025 04:36,18.96,Seat
139,90,2,513,10-03-2025 05:47,18.31,Seat
140,90,1,492,09-03-2025 01:02,17.29,Counter
141,90,3,316,22-02-2025 08:10,34.66,Counter
142,91,1,544,09-03-2025 10:48,29.98,Seat
143,91,1,626,09-03-2025 20:39,37.4,Counter
144,91,3,33,09-03-2025 14:15,39.82,Seat
145,92,2,464,05-03-2025 00:22,14.17,Counter
146,94,4,831,25-02-2025 23:33,44.38,Counter
147,94,3,315,02-03-2025 11:46,44.94,Seat
148,94,1,189,07-03-2025 03:28,37.18,Seat
149,96,2,20,12-03-2025 01:51,44.06,Seat
150,96,4,609,11-03-2025 22:44,33.37,Counter
151,96,1,301,12-03-2025 05:49,13.54,Counter
152,97,3,1,13-02-2025 23:08,18.5,Counter
153,97,3,654,08-03-2025 04:31,39.68,Seat
154,97,2,584,09-03-2025 06:56,13.76,Counter
155,98,3,154,06-03-2025 21:02,40.42,Counter
156,98,4,462,10-03-2025 10:17,40.98,Counter
157,99,2,283,11-03-2025 09:27,35.14,Seat
158,99,4,515,11-03-2025 05:39,21.08,Counter
159,99,4,290,12-03-2025 07:08,24.12,Seat
160,100,1,65,25-02-2025 01:50,43.11,Counter
161,100,1,416,08-03-2025 05:24,38.76,Counter
162,101,3,314,27-02-2025 13:05,19.04,Counter
163,101,4,495,11-03-2025 09:07,21.41,Seat
164,101,3,567,16-02-2025 09:26,25.94,Counter
165,102,3,238,06-03-2025 08:44,25.53,Counter
166,102,4,264,03-03-2025 09:46,11.26,Counter
167,103,1,218,06-03-2025 08:57,44.43,Seat
168,103,3,355,06-03-2025 01:38,20.02,Counter
169,103,3,654,08-03-2025 16:25,37.38,Counter
170,104,3,247,08-03-2025 15:02,33.32,Counter
171,104,4,752,15-02-2025 17:39,43.78,Counter
172,105,2,253,08-03-2025 03:53,13.01,Seat
173,105,2,790,08-03-2025 21:44,36.24,Seat
174,105,2,512,10-03-2025 23:45,42.86,Seat
175,106,3,154,06-03-2025 07:19,41.59,Counter
176,106,3,285,05-03-2025 14:59,48.77,Seat
177,106,3,800,08-03-2025 10:35,21.91,Seat
178,107,3,72,05-03-2025 11:48,38.01,Counter
179,107,3,693,11-03-2025 11:45,15.37,Seat
180,107,1,340,21-02-2025 15:54,26.08,Seat
181,108,4,565,20-02-2025 14:13,13.4,Counter
182,108,2,621,17-02-2025 00:41,45.7,Seat
183,109,3,458,09-03-2025 22:27,15.05,Seat
184,110,1,306,14-02-2025 18:52,49.93,Counter
185,111,3,418,07-03-2025 23:45,27.76,Seat
186,112,1,207,11-03-2025 04:59,39.59,Counter
187,113,4,368,23-02-2025 01:54,38.69,Counter
188,115,1,706,11-03-2025 21:05,35.11,Counter
189,115,3,570,11-03-2025 00:01,32.24,Seat
190,116,3,321,12-03-2025 06:35,34.5,Seat
191,116,1,122,09-03-2025 06:47,17.98,Seat
192,117,4,445,11-03-2025 03:28,40.81,Counter
193,118,1,806,11-03-2025 15:22,43.67,Seat
194,118,1,460,11-03-2025 06:03,12.41,Seat
195,119,4,369,05-03-2025 14:38,14.34,Seat
196,119,2,67,02-03-2025 14:20,47.75,Seat
197,120,4,219,07-03-2025 09:17,44.79,Seat
198,124,4,680,01-03-2025 00:02,46.41,Counter
199,124,3,248,03-03-2025 13:29,40.57,Seat
200,127,4,452,22-02-2025 16:00,38.01,Seat
201,127,1,607,08-03-2025 12:23,10.35,Counter
202,128,4,133,27-02-2025 14:20,13.3,Seat
203,128,2,138,26-02-2025 12:59,12.36,Counter
204,130,4,451,11-03-2025 20:03,13.41,Seat
205,130,2,157,11-03-2025 01:26,48.06,Counter
206,130,2,450,12-03-2025 08:24,20.91,Seat
207,131,2,428,12-03-2025 09:57,26.22,Seat
208,131,2,837,12-03-2025 08:20,41.36,Seat
209,132,1,192,24-02-2025 07:01,38.9,Counter
210,132,3,418,10-03-2025 10:42,25.39,Counter
211,132,2,309,01-03-2025 14:07,49.23,Seat
212,133,1,186,11-03-2025 18:34,16.99,Counter
213,133,3,245,10-03-2025 05:53,19.93,Seat
214,134,3,592,11-03-2025 12:13,28.79,Seat
215,135,2,389,04-03-2025 16:18,31.46,Counter
216,135,1,108,05-03-2025 19:05,42.5,Seat
217,135,4,464,10-03-2025 07:23,20.65,Counter
218,136,2,480,09-03-2025 05:12,32.71,Seat
219,137,3,793,22-02-2025 21:08,48.11,Counter
220,137,3,136,04-03-2025 06:16,39.49,Counter
221,138,3,634,07-03-2025 22:39,29.97,Counter
222,139,1,313,06-03-2025 10:05,39.02,Seat
223,141,4,11,20-02-2025 12:05,25.19,Counter
224,141,1,411,08-03-2025 04:15,32.09,Seat
225,141,4,786,07-03-2025 12:09,29.53,Counter
226,143,3,708,10-03-2025 01:52,26.56,Counter
227,144,2,734,14-02-2025 05:50,33.09,Counter
228,144,2,85,15-02-2025 02:32,11.94,Counter
229,144,2,30,28-02-2025 02:11,22.7,Counter
230,145,2,734,12-03-2025 09:17,19.05,Counter
231,145,1,589,11-03-2025 23:34,27.53,Seat
232,146,4,10,03-03-2025 11:25,37.64,Counter
233,146,3,126,11-02-2025 04:59,38.78,Seat
234,147,1,29,24-02-2025 02:15,26.83,Seat
235,147,4,841,01-03-2025 10:32,36.27,Seat
236,148,2,789,11-03-2025 17:48,33.23,Seat
237,150,3,428,06-03-2025 23:53,38.43,Seat
238,152,3,336,11-03-2025 17:40,15.09,Seat
239,153,4,371,03-03-2025 09:39,47.04,Seat
240,154,3,745,08-03-2025 14:53,10.02,Counter
241,154,3,501,10-03-2025 01:46,10.66,Counter
242,154,2,354,09-03-2025 18:41,48.72,Counter
243,155,1,337,10-03-2025 19:11,39.59,Counter
244,155,3,449,11-03-2025 06:35,45.54,Seat
245,156,3,545,10-03-2025 06:21,41,Seat
246,157,4,767,10-03-2025 05:32,41.55,Seat
247,158,1,50,28-02-2025 07:25,23.4,Counter
248,159,2,231,08-03-2025 19:55,27.19,Counter
249,160,1,709,09-03-2025 08:37,11.49,Counter
250,160,3,52,08-03-2025 07:16,37.01,Counter
251,161,3,651,09-03-2025 17:40,36.11,Seat
252,165,4,729,23-02-2025 09:00,30.67,Counter
253,165,4,25,13-02-2025 05:31,20.55,Seat
254,165,2,723,17-02-2025 21:14,30.63,Counter
255,166,4,359,05-03-2025 14:25,30.32,Counter
256,168,3,138,27-02-2025 00:40,40.58,Counter
257,168,3,308,21-02-2025 05:38,40.47,Counter
258,168,2,212,24-02-2025 09:00,29.98,Seat
259,169,4,772,05-03-2025 22:25,20.91,Counter
260,169,3,245,12-03-2025 05:36,29.81,Counter
261,170,1,735,23-02-2025 23:11,45.35,Seat
262,170,1,747,12-03-2025 00:38,26.5,Counter
263,172,4,335,12-03-2025 09:23,32.28,Seat
264,173,4,537,07-03-2025 19:49,39.97,Counter
265,173,4,146,02-03-2025 04:18,39.98,Seat
266,173,4,42,08-03-2025 19:32,12.38,Counter
267,175,4,413,05-03-2025 08:33,26.47,Seat
268,176,3,613,12-03-2025 01:27,23.92,Counter
269,176,2,98,11-03-2025 01:04,16.82,Seat
270,178,1,737,06-03-2025 11:37,48.54,Counter
271,178,4,815,08-03-2025 18:41,19.7,Seat
272,179,2,347,11-03-2025 17:44,41.64,Counter
273,179,2,56,11-03-2025 09:01,43.95,Counter
274,181,4,26,03-03-2025 11:12,17.66,Counter
275,181,3,722,06-03-2025 09:34,26.17,Seat
276,183,1,188,15-02-2025 12:19,39.54,Seat
277,185,3,712,04-03-2025 23:07,16.26,Counter
278,186,3,85,18-02-2025 14:18,33.47,Seat
279,187,3,712,23-02-2025 19:09,11.28,Counter
280,188,1,10,12-03-2025 09:57,44.06,Seat
281,188,1,306,12-03-2025 08:05,17.8,Counter
282,188,3,2,12-03-2025 00:30,26.86,Seat
283,189,4,190,06-03-2025 10:50,31.44,Seat
284,191,2,563,10-03-2025 23:13,32.76,Counter
285,191,2,546,27-02-2025 15:39,17.93,Seat
286,191,2,178,11-03-2025 01:30,48.89,Counter
287,193,4,528,07-03-2025 09:43,46.65,Counter
288,194,2,150,02-03-2025 14:40,12.48,Seat
289,195,3,150,21-02-2025 08:31,19.32,Seat
290,195,3,375,12-03-2025 10:42,26.57,Seat
291,195,3,669,06-03-2025 05:05,40.18,Counter
292,198,4,694,06-03-2025 01:14,15.23,Seat
293,198,3,139,09-03-2025 17:05,43.79,Seat
294,198,3,601,01-03-2025 07:24,10.64,Counter
295,199,3,77,02-03-2025 21:58,11.58,Counter
296,200,3,602,15-02-2025 22:30,18.37,Counter
297,201,3,619,07-03-2025 03:09,32.08,Counter
298,201,2,348,08-03-2025 03:18,16.94,Counter
299,202,2,418,24-02-2025 01:37,42.54,Counter
300,202,2,255,08-03-2025 05:36,42.01,Counter
301,204,1,386,10-03-2025 12:12,10.21,Seat
302,204,3,262,04-03-2025 07:14,32.52,Seat
303,205,2,422,13-02-2025 11:25,41.13,Counter
304,205,3,453,04-03-2025 06:25,36.64,Counter
305,206,2,363,11-03-2025 05:31,33.4,Counter
306,206,3,55,04-03-2025 10:56,20.77,Seat
307,207,1,595,08-03-2025 15:50,20.02,Seat
308,208,3,460,02-03-2025 20:07,27.38,Counter
309,208,4,599,07-03-2025 03:08,25.13,Seat
310,209,4,478,04-03-2025 03:08,48.23,Counter
311,209,3,314,09-03-2025 14:37,25.32,Seat
312,209,3,410,28-02-2025 22:51,40.55,Seat
313,210,1,802,08-03-2025 17:33,19.01,Counter
314,211,2,625,11-03-2025 04:03,17.63,Counter
315,211,2,561,09-03-2025 09:32,21.69,Seat
316,211,1,566,12-03-2025 00:35,41.3,Seat
317,213,3,681,17-02-2025 17:24,48.58,Seat
318,213,3,643,07-03-2025 08:12,25.16,Counter
319,215,1,153,11-03-2025 00:01,41.61,Seat
320,216,4,362,12-02-2025 13:16,26.44,Seat
321,216,1,484,05-03-2025 00:13,32.38,Seat
322,216,3,667,12-02-2025 16:04,44.48,Counter
323,218,2,494,26-02-2025 06:53,44.29,Counter
324,218,2,439,06-03-2025 05:19,36.26,Seat
325,218,3,761,05-03-2025 00:58,17.36,Counter
326,220,4,680,07-03-2025 02:24,32.8,Counter
327,220,2,280,03-03-2025 12:52,46.55,Counter
328,220,1,32,12-03-2025 09:17,25.46,Seat
329,221,4,245,04-03-2025 07:16,17.08,Seat
330,221,3,626,08-03-2025 17:53,42.06,Seat
331,222,3,629,24-02-2025 18:21,27.74,Seat
332,223,4,538,25-02-2025 17:49,36.78,Seat
333,225,3,20,19-02-2025 18:56,47.01,Counter
334,225,1,41,06-03-2025 16:07,11.32,Seat
335,225,4,175,21-02-2025 21:17,43.42,Counter
336,226,3,673,11-03-2025 09:51,22.84,Counter
337,226,4,458,09-03-2025 22:55,41.77,Counter
338,226,3,613,04-03-2025 14:56,30.57,Counter
339,227,3,207,14-02-2025 03:00,30.32,Counter
340,227,4,180,02-03-2025 20:26,11.43,Seat
341,227,3,158,03-03-2025 18:48,47.28,Counter
342,228,1,8,08-03-2025 01:59,21.2,Seat
343,229,2,579,20-02-2025 16:39,11.36,Counter
344,229,3,431,01-03-2025 12:55,49.53,Counter
345,229,3,177,20-02-2025 04:56,33.61,Counter
346,230,1,97,10-03-2025 00:23,14.47,Counter
347,232,2,544,07-03-2025 14:25,15.13,Seat
348,232,3,702,07-03-2025 07:21,23.91,Counter
349,233,3,470,11-03-2025 15:29,39.93,Seat
350,233,4,517,14-02-2025 12:47,30.73,Seat
351,234,4,379,04-03-2025 21:08,19.38,Seat
352,235,2,658,11-03-2025 18:43,32.65,Counter
353,235,2,46,12-03-2025 04:26,49.53,Counter
354,236,4,554,09-03-2025 11:14,29.43,Seat
355,237,1,399,11-03-2025 22:28,31.44,Counter
356,237,2,772,12-03-2025 11:52,21.24,Seat
357,237,2,585,12-03-2025 01:08,35.75,Seat
358,238,3,818,07-03-2025 08:15,26.69,Counter
359,238,4,130,04-03-2025 16:22,23.05,Seat
360,238,3,488,25-02-2025 01:03,10.02,Counter
361,239,2,194,11-03-2025 23:14,28.82,Counter
362,239,3,8,11-03-2025 20:47,25.42,Seat
363,242,4,99,07-03-2025 05:53,45.44,Seat
364,242,1,701,05-03-2025 08:56,38.21,Seat
365,242,4,753,01-03-2025 09:06,11.95,Seat
366,243,4,84,12-03-2025 02:23,26.38,Counter
367,244,4,470,05-03-2025 03:19,13.57,Counter
368,244,2,174,04-03-2025 17:01,13.38,Counter
369,245,1,157,04-03-2025 02:21,35.98,Counter
370,245,1,253,17-02-2025 21:04,26.31,Counter
371,246,3,673,19-02-2025 13:00,35.36,Counter
372,246,3,65,12-03-2025 03:16,49.6,Counter
373,247,4,188,03-03-2025 02:16,44.91,Counter
374,248,4,93,26-02-2025 14:33,32.33,Seat
375,249,2,333,10-03-2025 00:45,25.49,Counter
376,249,2,293,11-03-2025 21:48,30.46,Seat
377,249,2,10,09-03-2025 15:12,43.06,Seat
378,251,3,378,06-03-2025 17:41,49.22,Seat
379,252,3,635,09-03-2025 14:34,19.33,Seat
380,253,1,329,11-03-2025 22:27,46.91,Counter
381,253,4,742,10-03-2025 19:11,45.16,Seat
382,253,2,199,12-03-2025 02:58,22.99,Counter
383,254,4,588,03-03-2025 14:20,44.33,Seat
384,256,3,66,07-03-2025 07:32,20.68,Seat
385,258,3,708,04-03-2025 06:47,36.76,Seat
386,258,3,240,05-03-2025 20:02,42.92,Counter
387,260,2,767,04-03-2025 12:14,30.38,Counter
388,261,4,84,05-03-2025 19:27,29.52,Counter
389,261,1,570,08-03-2025 04:02,17.82,Seat
390,261,2,217,12-03-2025 03:25,26.06,Seat
391,263,1,591,08-03-2025 18:45,11.13,Counter
392,264,1,570,01-03-2025 09:03,41.12,Seat
393,264,3,93,09-03-2025 13:20,40.74,Counter
394,264,1,497,06-03-2025 03:44,14.9,Seat
395,266,1,363,23-02-2025 07:18,30.13,Seat
396,267,4,693,11-03-2025 02:50,30.07,Seat
397,267,2,316,11-03-2025 02:59,12.18,Seat
398,267,4,727,11-03-2025 05:07,13.35,Counter
399,268,4,463,04-03-2025 06:05,23.51,Seat
400,269,2,302,13-02-2025 14:03,17.67,Seat
401,269,3,391,12-02-2025 12:53,30.1,Counter
402,269,4,414,15-02-2025 19:03,43.72,Counter
403,271,4,593,24-02-2025 10:46,21.81,Counter
404,271,3,312,06-03-2025 14:54,29.43,Seat
405,271,3,688,26-02-2025 11:56,22.45,Counter
406,272,3,216,27-02-2025 07:09,18.09,Seat
407,272,2,74,05-03-2025 12:40,39.02,Counter
408,274,2,530,22-02-2025 16:46,45.26,Seat
409,275,2,551,10-03-2025 01:28,36.3,Counter
410,275,2,651,11-03-2025 17:41,26.54,Seat
411,275,4,480,11-03-2025 16:52,43.47,Seat
412,276,1,733,24-02-2025 17:12,15.97,Seat
413,276,3,145,23-02-2025 19:25,35.19,Seat
414,276,3,374,08-03-2025 17:13,49.64,Counter
415,279,3,623,28-02-2025 09:21,29.78,Seat
416,279,2,685,10-03-2025 13:36,33.91,Seat
417,280,1,133,07-03-2025 03:44,10.1,Seat
418,281,4,205,11-03-2025 17:58,17.16,Counter
419,281,4,473,12-03-2025 11:14,46.49,Counter
420,282,4,435,03-03-2025 13:49,44.66,Seat
421,284,4,197,09-03-2025 16:09,45.94,Counter
422,285,4,132,11-03-2025 08:35,36.27,Seat
423,286,3,752,27-02-2025 12:40,21.71,Counter
424,286,3,118,04-03-2025 13:12,47.01,Counter
425,288,3,463,24-02-2025 02:25,39.29,Seat
426,290,3,254,12-03-2025 08:26,32.64,Seat
427,292,1,787,10-03-2025 12:38,34.31,Seat
428,292,2,717,12-03-2025 07:53,36.57,Seat
429,293,3,337,09-03-2025 04:23,23.71,Seat
430,293,2,238,11-03-2025 17:17,39.74,Counter
431,295,2,204,05-03-2025 00:28,13.94,Counter
432,295,3,763,24-02-2025 21:56,45.53,Seat
433,295,4,424,09-03-2025 19:46,48.57,Counter
434,296,3,512,07-03-2025 02:17,16.66,Seat
435,297,3,237,20-02-2025 16:32,12.56,Counter
436,297,2,19,06-03-2025 12:58,20.22,Counter
437,297,3,728,25-02-2025 09:21,48.53,Seat
438,298,3,433,15-02-2025 15:03,21.99,Seat
439,300,3,237,08-03-2025 04:53,21.61,Seat
440,302,2,62,10-03-2025 09:58,35.65,Seat
441,302,3,366,10-03-2025 14:10,48.09,Counter
442,303,3,674,07-03-2025 02:11,25.23,Counter
443,304,4,699,03-03-2025 05:52,47.9,Counter
444,304,3,794,19-02-2025 17:00,31.32,Seat
445,309,2,116,01-03-2025 06:43,10.08,Seat
446,312,4,546,06-03-2025 02:22,39.37,Seat
447,312,3,831,06-03-2025 14:57,42.13,Seat
448,312,3,382,07-03-2025 20:40,41.94,Seat
449,313,2,662,01-03-2025 22:05,19.86,Counter
450,318,3,31,01-03-2025 02:54,13.55,Seat
451,318,3,258,22-02-2025 05:01,28.8,Seat
452,319,4,501,03-03-2025 08:57,21.02,Seat
453,319,2,350,06-03-2025 05:44,34.03,Seat
454,320,3,653,27-02-2025 23:22,20.05,Seat
455,321,3,535,08-03-2025 09:52,14,Counter
456,323,4,327,07-03-2025 02:21,10.92,Counter
457,323,4,702,25-02-2025 20:01,48.7,Counter
458,323,2,390,12-03-2025 03:59,23.37,Counter
459,324,2,68,12-03-2025 09:44,36.01,Seat
460,324,4,784,12-03-2025 11:53,38.43,Counter
461,325,4,64,08-03-2025 14:07,31.1,Seat
462,325,1,701,08-03-2025 17:47,37.85,Seat
463,326,4,306,21-02-2025 01:13,33.23,Seat
464,326,4,492,25-02-2025 11:32,46.98,Seat
465,328,3,662,08-03-2025 21:33,17.14,Counter
466,330,3,242,02-03-2025 17:48,14.17,Seat
467,331,4,168,10-03-2025 02:12,45.21,Counter
468,331,1,675,11-03-2025 07:59,16.57,Counter
469,332,2,449,10-03-2025 16:10,16.04,Counter
470,332,4,597,04-03-2025 08:39,26.48,Seat
471,333,2,707,09-03-2025 20:23,27.74,Counter
472,333,2,108,11-03-2025 03:28,19.16,Counter
473,334,3,438,12-03-2025 12:15,31.98,Seat
474,335,3,126,05-03-2025 20:11,33.99,Seat
475,337,2,649,20-02-2025 09:02,40.07,Counter
476,338,3,736,25-02-2025 07:25,31,Counter
477,338,3,92,01-03-2025 15:45,35.35,Seat
478,338,2,141,01-03-2025 15:09,23.39,Seat
479,339,3,707,02-03-2025 13:23,16.93,Seat
480,339,4,518,12-03-2025 10:02,35.44,Seat
481,339,2,707,10-03-2025 13:43,45.05,Seat
482,341,4,542,10-03-2025 02:41,46.84,Counter
483,342,3,323,08-03-2025 22:08,31.93,Seat
484,342,2,388,08-03-2025 07:20,34.44,Counter
485,342,2,587,10-03-2025 05:04,38.58,Counter
486,343,4,548,05-03-2025 12:35,47.81,Counter
487,343,2,663,27-02-2025 21:42,36.84,Counter
488,344,4,526,11-03-2025 01:35,26.56,Counter
489,344,3,516,28-02-2025 14:13,46.6,Seat
490,346,3,3,10-03-2025 18:42,21.08,Counter
491,346,3,849,11-03-2025 07:02,24.46,Counter
492,346,3,668,12-03-2025 10:21,12.75,Seat
493,347,2,846,06-03-2025 18:51,49.68,Counter
494,347,2,450,03-03-2025 07:52,33.25,Counter
495,347,2,314,11-03-2025 00:31,12.65,Seat
496,349,4,415,24-02-2025 20:45,47.29,Counter
497,349,1,350,07-03-2025 15:00,47.18,Seat
498,349,2,542,12-03-2025 11:55,47.95,Seat
499,350,1,549,01-03-2025 13:14,27,Seat
500,350,4,635,20-02-2025 21:40,18.75,Seat
501,350,2,311,26-02-2025 13:49,15.02,Counter
502,351,2,695,10-03-2025 22:54,41.96,Seat
503,351,3,446,20-02-2025 22:50,11.78,Counter
504,351,4,287,12-03-2025 00:59,17.86,Seat
505,353,4,516,06-03-2025 14:15,13.43,Counter
506,355,2,676,24-02-2025 07:48,30.5,Seat
507,356,4,433,11-03-2025 20:01,33.67,Seat
508,356,2,122,08-03-2025 08:52,34.54,Counter
509,356,3,629,08-03-2025 16:16,11.08,Seat
510,357,2,144,05-03-2025 22:43,17.58,Counter
511,358,1,237,28-02-2025 10:21,15.6,Counter
512,358,2,566,15-02-2025 15:22,33.59,Counter
513,358,3,78,12-03-2025 01:53,31.55,Counter
514,360,3,727,04-03-2025 09:29,28.72,Seat
515,361,3,73,27-02-2025 21:10,27.3,Seat
516,361,3,446,04-03-2025 04:27,35.93,Counter
